"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.87908904828193,0.60649707075445,-3.09826566176889,0.00209413421637621
"prox.normal",-0.291465122138858,0.0661463498780306,-4.40636743639369,1.37581993826411e-05
"pH",-0.344151572394506,0.0819964849556776,-4.19715031175463,3.38253779758024e-05
"communityGlobe/Miami",0.839025810444728,0.254854208928762,3.29217953264902,0.00108905684422766
"communityHayden/Winkelman",0.150047249298245,0.237185196113999,0.632616418548006,0.527371771744137
"communityTucson",-0.0722240130024244,0.237346692279156,-0.304297533320911,0.761070917922837
"Q91950-1959",-0.332673192705252,0.24583672062541,-1.35322823969881,0.176802277139972
"Q91960-1969",-0.377788046509673,0.303874983533317,-1.24323510318924,0.214562079526042
"Q91970-1979",-0.139797161107786,0.253110108831732,-0.55231757337959,0.581061586356377
"Q91980-1989",0.0167932703089381,0.269689526576934,0.06226890054682,0.950382047153825
"Q91990-1999",0.272512137030599,0.290827986200259,0.93702171029356,0.349353684452045
"Q92000-2009",-0.270290746041054,0.31940063721857,-0.846243603002238,0.397959430521777
"Q92010-2018",0.599354428937041,0.378021705575669,1.58550268436125,0.113699551174446
"Q9Pre 1940",0.310899495268888,0.263241103639472,1.18104464299271,0.238337502432889
