"","PC1","PC2","PC3","PC4","PC5","PC6"
"pH",0,0,0,0,0,0
"Al",0.0688750127946237,0,0,0,0,0
"Sb",0,0,0,0,0,0
"As",0.188911963229128,0,0,0,0,0
"Ba",0.369960240037006,0,0,0,0,0
"Be",0.0457903199681215,0,0,0,0,0
"Cd",0,0,0,0,0,0
"Cr",0.205012421692895,0,0,0,0,0
"Co",0.208938857082339,0,0,0,0,0
"Cu",0.0400604742015565,0.0458993530232565,0,0,0,0
"Fe",0.224854502796948,0,0,0,0,0
"Pb",0.0672352996082364,0.349048354345687,0,0,0,0
"Mn",0.25886994744806,0.358507397343484,0,0,0,0
"Mo",0.380757381389618,0,0,0,0,0
"Ni",0.564977297329978,0,0,0,0,0
"Se",0,0,0,0,0,0
"Ag",0,0,0,0,0,0
"Sn",0,0,1,0,0,0
"V",0.383459876513467,0,0,0,0,0
"Zn",0,0.864598717192326,0,0,0,0
