"","PC1","PC2","PC3","PC4","PC5","PC6"
"pH",0,0.129961555440144,0,0,0,0
"Al",-0.280021503455696,0,-0.0148494094400817,0,0,0
"Sb",0,0.146523168637809,0,0,0,0
"As",-0.0151427134835872,0.37672578902155,0,0,0,0
"Ba",-0.0434064815843432,0.287403872635644,0.151470969266824,0,0,0
"Be",-0.255632968989601,-0.00744872588360248,-0.540498613636293,0,0,0
"Cd",-0.181312165871822,0,0,-0.331690828112267,0,0
"Cr",-0.21854912210492,0.304769246328645,0,0.21852078507522,0,0
"Co",-0.441578742444093,0,0,0,0,0
"Cu",-0.0291579778220911,0.093161235862235,0,-0.676431474283274,0,0
"Fe",-0.258593859062406,0,-0.00459443122615885,0,0,0
"Pb",-0.0470432704269475,0,0,-0.620217963005961,0,0
"Mn",-0.598744735854944,-0.00402603804841512,0.00659001092975866,0,0,0
"Mo",0.141059959550959,0.668990116179724,0.0771544924309762,0,0,0
"Ni",-0.262640764349987,0.126166723512686,0,0,0,0
"Se",-0.0426778850448166,0.208471385011011,0,0,0,0
"Ag",-0.0866236188647072,0,-0.245776615870502,0,0,0
"Sn",-0.0110307946557826,0.0060279254537595,0,0,1,0
"V",-0.0359323026519343,0.339035177294701,-0.00262647765424406,0,0,0
"Zn",-0.224614040918656,-0.116513191528909,0.786299493276985,0,0,0
