"","PC1","PC2","PC3","PC4","PC5","PC6"
"pH",0,0,0,0,0,0
"Al",-0.065705067350659,0,0,0,0,0
"Sb",-0.148566557205419,0,0,0,0,0
"As",-0.40342306264141,0,0,0,0,0
"Ba",-0.273263104952387,0,0,0,0,0
"Be",0,0.710113791885537,0,0,0,0
"Cd",-0.261299258516558,0,0,0,0,0
"Cr",-0.0644403028157228,0.197076003957279,0,0,0,0
"Co",-0.37373445618492,0,0,0,0,0
"Cu",-0.498572596998856,0,0,0,0,0
"Fe",-0.143517344374657,0.00294934310877102,0,0,0,0
"Pb",-0.316724625282684,0,0,0,0,0
"Mn",-0.296541768932454,0,0,0,0,0
"Mo",-0.225993423232447,0,0,0,0,0
"Ni",-0.083808111720069,0,0,0,0,0
"Se",-0.0754485159844481,0,0,0,0,0
"Ag",0,0.675936944258413,0,0,0,0
"Sn",-0.0535350666850596,0,0,-1,0,0
"V",0,0,0,0,0,0
"Zn",-0.00139673800006696,0,1,0,0,0
