"","PC1","PC2","PC3","PC4","PC5","PC6"
"pH",-0.113239502045406,0,0,0,0,0
"Al",-0.097653265116534,0,0,0,0,0
"Sb",-0.10890876498246,0,0,0,0,0
"As",-0.183826200021851,0.179175798247518,0,0,0,0
"Ba",-0.311321007070684,0,0,0,0,0
"Be",0,0.147680918341172,0,-0.506422061417355,0,0
"Cd",-0.168175045387582,0,0,0,0,0
"Cr",-0.215065619003681,0.405306475112125,0,0,0,0
"Co",-0.427697079214642,0,0,0,0,0
"Cu",-0.0989740341235105,0,-0.3503494954374,0,0,0
"Fe",-0.188462975018956,0,0,0,0,0
"Pb",0,0,-0.928974083323426,0,0,0
"Mn",-0.509464649691164,-0.0934129564638388,0,0,0,0
"Mo",-0.198303209273137,0.143544979339169,0,0,0,0
"Ni",-0.299821089805439,0,0,0,0,0
"Se",-0.163690429298466,0.175104982940427,0,0,0,0
"Ag",-0.00576545737231391,0,0,-0.862285739015668,0,0
"Sn",-0.0287479649849822,0.0634227561257549,-0.119425221624908,0,0,0
"V",-0.158725773765724,0.450952547040017,0,0,0,0
"Zn",-0.301118734793467,-0.717244378616261,0,0,0,0
