"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-2.47126680057131,0.550318006525023,188.483354043635,-4.49061591892314,1.23538186596296e-05
"seasonMonsoon",0.504500697102942,0.0863368021480834,244.303243723518,5.84340263422811,1.62659683726391e-08
"community_2Globe/Miami",2.23516533615557,0.654979457861097,108.081830821108,3.41257318734046,0.0009065299489424
"community_2Hayden/Winkelman",1.83927976640549,0.429147693187657,85.4754319598074,4.28588990597513,4.75471560456502e-05
"community_2Tucson",-0.591929641132281,0.668864114121127,68.4583702129991,-0.88497742461496,0.379266650201908
"community_2Tucson Spanish",0.13179793815712,0.575207960067966,68.0129074992175,0.22913093577764,0.819454772409727
"Zip85192",-0.932383927721572,0.236653417422831,48.0463342375105,-3.93987096351824,0.000263289663852145
"Zip85501",-1.03020099890609,0.543227302766833,109.309374745057,-1.89644554619943,0.0605410376617492
"Zip85502",-0.958658046361375,0.600637322594634,86.2788057124427,-1.59606806020672,0.114130142136899
"Zip85705",1.17348457388236,0.642937488138331,59.1714678167389,1.82519233289735,0.0730204214472982
"Zip85706",0.849165251154817,0.467290903326064,50.7103679852013,1.8172090342668,0.0750962787224432
"Zip85711",1.33946694848921,0.523056149890582,58.586122182775,2.56084733688613,0.0130388849961324
"Zip85713",0.809028970565126,0.480061851884121,51.5308026867119,1.68525986264039,0.0979858817522583
"Zip85714",0.960423637594139,0.485133939529505,47.8035302684671,1.97970819878235,0.053509860017051
"Zip85716",2.49566046557232,0.648192642740336,64.1124941558777,3.85018326499591,0.000274943336718444
"Zip85718",1.46835642286574,0.694082408385217,55.0914760946124,2.1155361454584,0.0389197670846261
"Zip85719",1.15724098018721,0.553402723368911,57.9093489545813,2.09113712549579,0.0409133289503472
"Zip85745",1.50026879829084,0.594422394556062,57.7916142924404,2.52391029010826,0.0143767080186071
"Zip85746",0.590116356694049,0.523589378997597,51.3537799787583,1.12705944842467,0.264956199599147
"Zip85748",0.528777613953731,0.588541378280329,46.1352530590417,0.898454439174315,0.373608590051086
"Zip85749",1.11051646086715,0.624736164179604,56.0065692648003,1.77757671884653,0.08090293495705
"Zip85750",1.56542528330126,0.86792817714278,124.127253055811,1.8036345915795,0.0737140045507146
"Zip86327",0.29041517561313,0.428721199325259,84.7977683787527,0.67739868257086,0.49999702737762
"pH",0.319831015677079,0.0650071790298027,275.191591956744,4.91993377424441,1.49225437516692e-06
