"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-2.62630548977292,0.363204550289097,116.692829675868,-7.23092672622764,5.40672632865966e-11
"seasonMonsoon",0.455375620958396,0.0992270107380434,313.930399457204,4.58923046831045,6.44127373945792e-06
"prox.normal",-0.196372707440225,0.0887480984115348,108.508826707374,-2.21269763471013,0.0290127992838138
"communityGlobe/Miami",1.29099875939655,0.336270462449628,109.913933610613,3.83916788287624,0.000206700911696457
"communityHayden/Winkelman",1.82469289896111,0.3251550451287,103.035288313925,5.61176253082242,1.69861300155945e-07
"communityTucson",0.246039721802131,0.313211130162853,115.264760767679,0.785539523050166,0.43374906902358
"Q91941-1949",0.239838044570016,0.367797619155784,96.6916105585309,0.652092433661,0.515888695870337
"Q91950-1959",-0.727149090922777,0.282980752778865,94.5863649944266,-2.56960617915596,0.0117438021657979
"Q91960-1969",-0.0238288242251947,0.357434830437126,106.303974120214,-0.0666662065251257,0.946972659148456
"Q91970-1979",-0.865457628841053,0.284311808849808,98.2064172308593,-3.04404390497281,0.00299565941904906
"Q91980-1989",-0.766197536993673,0.323100158225387,92.4968557671964,-2.3713932583691,0.0197947774300624
"Q91990-1999",-0.794327346444062,0.365826749366865,89.397540711465,-2.17132111803962,0.032555455962112
"Q92000-2009",-1.13299164487214,0.375158123799083,110.300077869521,-3.02003761347021,0.00314092041357904
"Q92010-2018",-1.1236813659117,0.469963299731589,105.114369229941,-2.39099811954139,0.018580991924968
