"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.40804219328627,0.679849727384782,307.232915451556,2.07110797661517,0.0391833434691859
"seasonMonsoon",0.610053733044766,0.124632644931648,316.471181299278,4.89481494498762,1.5707645375133e-06
"pH",0.18443813003602,0.0909448008466867,363.906325685128,2.02802280415065,0.0432859876051549
"communityGlobe/Miami",1.20110123774401,0.379882029920441,103.45501268237,3.16177429607701,0.00205786926582441
"communityHayden/Winkelman",2.10046007065623,0.37011305994456,96.6783834272729,5.67518495826885,1.44706252565999e-07
"communityTucson",0.752232926184393,0.354600623041927,110.072623463506,2.12135252254041,0.036136390491224
"Q91941-1949",0.346303673433639,0.421961220335787,90.9105855579579,0.820700236761234,0.413963867967068
"Q91950-1959",-0.68941167868349,0.320685593413236,88.4378645008944,-2.14980558167798,0.0343004957090738
"Q91960-1969",0.106509972935426,0.412115698922182,101.03253161587,0.258446774083066,0.79658789093047
"Q91970-1979",-0.798544943762979,0.31828807836577,92.6070521427352,-2.50887481511421,0.0138500886351544
"Q91980-1989",-0.64211670645558,0.365089230693089,85.4405942748976,-1.75879388509099,0.0821929022582657
"Q91990-1999",-0.51867440296283,0.415342811644711,82.9721091947523,-1.24878627586917,0.215255187948277
"Q92000-2009",-0.887517158794672,0.42047600186961,103.317383004752,-2.11074390654497,0.0372078533561444
"Q92010-2018",-1.48857876565048,0.519428928841839,97.3199921143594,-2.86579873202199,0.00509762902601857
