"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",4.03495111242322,0.174639018183405,101.26041911531,23.1045224280048,3.6570811668391e-42
"seasonMonsoon",0.668380473351286,0.102426118943457,326.33405751799,6.52548861799845,2.5876271565309e-10
"Q91941-1949",-0.557651875579246,0.299981729472138,91.9738424966575,-1.8589527987605,0.0662314710272912
"Q91950-1959",-0.636812739542049,0.222388821177957,87.1333779929091,-2.86351056752294,0.00524783466349384
"Q91960-1969",-0.696888761367505,0.290009157425089,103.409428198334,-2.40298881440499,0.0180435304934696
"Q91970-1979",-0.378698017407801,0.222616452135002,91.998577814,-1.70112322685902,0.0922975967860382
"Q91980-1989",-0.65218705373761,0.254673146120319,82.9301871197614,-2.56087877215561,0.0122521975233583
"Q91990-1999",-0.674365720222553,0.287480226115634,80.6794628764972,-2.34578123627641,0.0214426880044035
"Q92000-2009",-0.909108343928378,0.271376676230343,97.839633654263,-3.34998702378067,0.00114908520247526
"Q92010-2018",-0.460924489021177,0.351098153712947,104.729591827684,-1.31280806847541,0.192117109044342
