"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.881994102699322,0.514760775290647,322.037266114029,-1.7134058091379,0.087600269840849
"seasonMonsoon",0.908134167512874,0.0965792817706947,319.694864398384,9.40299152015884,1.06154986042421e-18
"pH",0.218770982931439,0.0708513029934869,364.043247816674,3.08774819499862,0.00217152569985708
"Q91950-1959",-0.866685464230942,0.33246541734039,95.7454484493954,-2.60684395737798,0.0105991946140064
"Q91960-1969",-0.387305496827022,0.391525626879925,103.918014327671,-0.989221318444637,0.3248526063658
"Q91970-1979",-1.1181734160068,0.331484037063576,97.2827904026664,-3.37323457838889,0.00106769862717655
"Q91980-1989",-0.916515193738648,0.36379950721829,93.3825225422859,-2.51928651785862,0.0134585551589563
"Q91990-1999",-1.01078192706275,0.397457758189516,90.9451632709524,-2.54311786909638,0.0126759640951703
"Q92000-2009",-1.05019993518662,0.374775965475349,102.271233502027,-2.80220727029439,0.0060719044581836
"Q92010-2018",-0.977960123667769,0.452948256227167,104.520607898265,-2.15909899248468,0.0331298586159694
"Q9Pre 1940",-0.407153284228522,0.348982264243287,98.6286256003737,-1.16668761122107,0.24614974619987
