"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.13895416721809,0.345870540928039,97.6275138190788,14.8580279587538,8.38289263649906e-27
"seasonMonsoon",0.342860611205818,0.0925620961287908,292.184775533489,3.70411459490678,0.000253614042911337
"prox.normal",0.288092961482074,0.139613286466633,100.445643733988,2.06350676768093,0.0416432763365173
"Q91941-1949",-0.275489456580471,0.603530191956754,94.9280874902419,-0.456463421800464,0.649099456773131
"Q91950-1959",-0.144423450436928,0.456606995790723,94.4819169946338,-0.316297060203436,0.752474766457677
"Q91960-1969",-0.0586084282131711,0.562322654469337,99.6401524986889,-0.104225621620171,0.917199808140901
"Q91970-1979",-1.01603161662141,0.4563216330368,95.2671005890681,-2.22656903171512,0.0283323185238746
"Q91980-1989",-1.23604585368322,0.526687016564833,93.7859193086357,-2.34683182764781,0.0210379584496132
"Q91990-1999",-0.966452484936226,0.601852789912954,91.5305883505804,-1.60579547213863,0.111763608686376
"Q92000-2009",-1.33885427883859,0.536212944728467,99.3755928601359,-2.49687049147345,0.0141733261510132
"Q92010-2018",-2.02457698812101,0.699123053157396,98.2677258981317,-2.8958807451386,0.00466002895018071
