"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.445746257876528,0.506762227418883,312.708270022921,-0.879596453245676,0.379753392525482
"seasonMonsoon",0.74746216086501,0.0955532889091434,323.393015311357,7.82246398212135,7.40860847911203e-14
"pH",0.375505363050342,0.0690988797044052,368.825572238565,5.43431911858338,1.00163295633775e-07
"communityGlobe/Miami",0.646093755908681,0.272804329553487,108.947876010231,2.36834128316869,0.0196301788290987
"communityHayden/Winkelman",0.896949628683089,0.265103573010083,101.314052460549,3.38339320929852,0.00101903822617901
"communityTucson",0.584853993557306,0.255218036362293,115.873162404271,2.29158566492174,0.0237360744289884
"Q91941-1949",-0.180114278754201,0.301517184320992,94.8272403153996,-0.597359912204715,0.551690881051783
"Q91950-1959",-0.396149753996839,0.228876659027332,91.5643150028442,-1.73084383388142,0.0868481864930848
"Q91960-1969",0.434623757409357,0.295678647969729,106.048809145415,1.46991932083595,0.144544219381555
"Q91970-1979",-0.52621079902093,0.227601003867246,96.7234085131992,-2.3119880408254,0.0228995451445436
"Q91980-1989",-0.0661542728902175,0.2602108009526,88.283876428941,-0.254233385578288,0.79990647089239
"Q91990-1999",-0.337142115090254,0.295703135177511,85.948489450457,-1.1401371002978,0.257396456782417
"Q92000-2009",-0.41960443951283,0.301895307294153,107.856876022026,-1.38990050317008,0.167421146225305
"Q92010-2018",-0.832555997859559,0.372162512214066,102.225984025759,-2.23707646669334,0.0274524956137003
