"","analyte","n","AI","DW","FB","LDW","PB"
"1","Al",571,0.18,34,NA,0.18,NA
"2","As",571,0.18,3.3,0.53,3.3,0
"3","Be",571,0,0,0,NA,0
"4","Cd",571,0.53,1.6,0,0,0
"5","Cr",571,0.18,0.18,0,0,0
"6","Cu",571,5.8,0.53,0.53,2.1,0.53
"7","Fe",571,0,4.6,NA,4.6,NA
"8","Mn",571,2.6,12,0,12,0
"9","Mo",571,3,NA,NA,NA,NA
"10","Ni",571,0.35,0.35,0,NA,0
"11","Pb",571,0,3.2,3.2,0.35,3.2
"12","Se",571,0,0,0,0,0
"13","V",571,0,NA,NA,0,NA
"14","Zn",571,4.4,1.9,0,0,0
"15","Ba",571,NA,0,0,0,0
"16","Sb",571,NA,1.4,0,NA,0
"17","Ag",571,NA,NA,0,NA,0
"18","Co",571,NA,NA,NA,0,NA
