"","analyte","season","n","AI","DW","FB","LDW","PB"
"1","Al","Winter",397,0,31,NA,0,NA
"2","Al","Monsoon",174,0.57,40,NA,0.57,NA
"3","As","Winter",397,0,1,0,1,0
"4","As","Monsoon",174,0.57,8.6,1.7,8.6,0
"5","Be","Winter",397,0,0,0,NA,0
"6","Be","Monsoon",174,0,0,0,NA,0
"7","Cd","Winter",397,0.5,1.8,0,0,0
"8","Cd","Monsoon",174,0.57,1.1,0,0,0
"9","Cr","Winter",397,0,0,0,0,0
"10","Cr","Monsoon",174,0.57,0.57,0,0,0
"11","Cu","Winter",397,4.5,0.5,0.5,2,0.5
"12","Cu","Monsoon",174,8.6,0.57,0.57,2.3,0.57
"13","Fe","Winter",397,0,2.3,NA,2.3,NA
"14","Fe","Monsoon",174,0,9.8,NA,9.8,NA
"15","Mn","Winter",397,1.3,4.3,0,4.3,0
"16","Mn","Monsoon",174,5.7,30,0,30,0
"17","Mo","Winter",397,2,NA,NA,NA,NA
"18","Mo","Monsoon",174,5.2,NA,NA,NA,NA
"19","Ni","Winter",397,0.5,0.5,0,NA,0
"20","Ni","Monsoon",174,0,0,0,NA,0
"21","Pb","Winter",397,0,1.8,1.8,0.25,1.8
"22","Pb","Monsoon",174,0,6.3,6.3,0.57,6.3
"23","Se","Winter",397,0,0,0,0,0
"24","Se","Monsoon",174,0,0,0,0,0
"25","V","Winter",397,0,NA,NA,0,NA
"26","V","Monsoon",174,0,NA,NA,0,NA
"27","Zn","Winter",397,3.3,1.3,0,0,0
"28","Zn","Monsoon",174,6.9,3.4,0,0,0
"29","Ba","Winter",397,NA,0,0,0,0
"30","Ba","Monsoon",174,NA,0,0,0,0
"31","Sb","Winter",397,NA,0.5,0,NA,0
"32","Sb","Monsoon",174,NA,3.4,0,NA,0
"33","Ag","Winter",397,NA,NA,0,NA,0
"34","Ag","Monsoon",174,NA,NA,0,NA,0
"35","Co","Winter",397,NA,NA,NA,0,NA
"36","Co","Monsoon",174,NA,NA,NA,0,NA
