"","demographic","community_2","value","n","N","perc"
"1","BIPOC","Dewey-Humboldt","Other",1,116,"0.9%"
"2","BIPOC","Dewey-Humboldt","Person of color",1,116,"0.9%"
"3","BIPOC","Dewey-Humboldt","White",9,116,"7.8%"
"4","BIPOC","Globe/Miami","Person of color",6,116,"5.2%"
"5","BIPOC","Globe/Miami","White",18,116,"15.5%"
"6","BIPOC","Hayden/Winkelman","Person of color",15,116,"12.9%"
"7","BIPOC","Hayden/Winkelman","White",2,116,"1.7%"
"8","BIPOC","Tucson","Person of color",5,116,"4.3%"
"9","BIPOC","Tucson","White",26,116,"22.4%"
"10","BIPOC","Tucson Spanish","Person of color",29,116,"25%"
"11","BIPOC","Tucson Spanish","White",4,116,"3.4%"
"12","Education_grouped","Dewey-Humboldt","College Degree",2,89,"2.2%"
"13","Education_grouped","Dewey-Humboldt","Post-Graduate Degree",1,89,"1.1%"
"14","Education_grouped","Dewey-Humboldt","Some College",4,89,"4.5%"
"15","Education_grouped","Dewey-Humboldt","Trade/Technical",2,89,"2.2%"
"16","Education_grouped","Globe/Miami","College Degree",7,89,"7.9%"
"17","Education_grouped","Globe/Miami","High/Secondary",2,89,"2.2%"
"18","Education_grouped","Globe/Miami","Some College",5,89,"5.6%"
"19","Education_grouped","Globe/Miami","Trade/Technical",1,89,"1.1%"
"20","Education_grouped","Hayden/Winkelman","College Degree",2,89,"2.2%"
"21","Education_grouped","Hayden/Winkelman","High/Secondary",3,89,"3.4%"
"22","Education_grouped","Hayden/Winkelman","Primary - Junior High",1,89,"1.1%"
"23","Education_grouped","Hayden/Winkelman","Some College",6,89,"6.7%"
"24","Education_grouped","Hayden/Winkelman","Trade/Technical",1,89,"1.1%"
"25","Education_grouped","Tucson","College Degree",8,89,"9%"
"26","Education_grouped","Tucson","High/Secondary",1,89,"1.1%"
"27","Education_grouped","Tucson","Post-Graduate Degree",13,89,"14.6%"
"28","Education_grouped","Tucson","Some College",2,89,"2.2%"
"29","Education_grouped","Tucson Spanish","College Degree",7,89,"7.9%"
"30","Education_grouped","Tucson Spanish","High/Secondary",9,89,"10.1%"
"31","Education_grouped","Tucson Spanish","Primary - Junior High",6,89,"6.7%"
"32","Education_grouped","Tucson Spanish","Some College",3,89,"3.4%"
"33","Education_grouped","Tucson Spanish","Trade/Technical",3,89,"3.4%"
"34","Gender","Dewey-Humboldt","Female",7,118,"5.9%"
"35","Gender","Dewey-Humboldt","Male",5,118,"4.2%"
"36","Gender","Globe/Miami","Female",12,118,"10.2%"
"37","Gender","Globe/Miami","Male",11,118,"9.3%"
"38","Gender","Hayden/Winkelman","Female",11,118,"9.3%"
"39","Gender","Hayden/Winkelman","Male",6,118,"5.1%"
"40","Gender","Tucson","Female",16,118,"13.6%"
"41","Gender","Tucson","Male",15,118,"12.7%"
"42","Gender","Tucson Spanish","Female",21,118,"17.8%"
"43","Gender","Tucson Spanish","Male",13,118,"11%"
"44","Gender","Tucson Spanish","Other",1,118,"0.8%"
"45","Highest Levelof Education Completed","Dewey-Humboldt","College Degree",2,89,"2.2%"
"46","Highest Levelof Education Completed","Dewey-Humboldt","Post-Graduate Degree",1,89,"1.1%"
"47","Highest Levelof Education Completed","Dewey-Humboldt","Some College",4,89,"4.5%"
"48","Highest Levelof Education Completed","Dewey-Humboldt","Trade/Technical",2,89,"2.2%"
"49","Highest Levelof Education Completed","Globe/Miami","College Degree",7,89,"7.9%"
"50","Highest Levelof Education Completed","Globe/Miami","High/Secondary",2,89,"2.2%"
"51","Highest Levelof Education Completed","Globe/Miami","Some College",5,89,"5.6%"
"52","Highest Levelof Education Completed","Globe/Miami","Trade/Technical",1,89,"1.1%"
"53","Highest Levelof Education Completed","Hayden/Winkelman","College Degree",2,89,"2.2%"
"54","Highest Levelof Education Completed","Hayden/Winkelman","High/Secondary",3,89,"3.4%"
"55","Highest Levelof Education Completed","Hayden/Winkelman","Middle/Junior High",1,89,"1.1%"
"56","Highest Levelof Education Completed","Hayden/Winkelman","Some College",6,89,"6.7%"
"57","Highest Levelof Education Completed","Hayden/Winkelman","Trade/Technical",1,89,"1.1%"
"58","Highest Levelof Education Completed","Tucson","College Degree",8,89,"9%"
"59","Highest Levelof Education Completed","Tucson","High/Secondary",1,89,"1.1%"
"60","Highest Levelof Education Completed","Tucson","Post-Graduate Degree",13,89,"14.6%"
"61","Highest Levelof Education Completed","Tucson","Some College",2,89,"2.2%"
"62","Highest Levelof Education Completed","Tucson Spanish","College Degree",7,89,"7.9%"
"63","Highest Levelof Education Completed","Tucson Spanish","Elementary/Primary",3,89,"3.4%"
"64","Highest Levelof Education Completed","Tucson Spanish","High/Secondary",9,89,"10.1%"
"65","Highest Levelof Education Completed","Tucson Spanish","Middle/Junior High",3,89,"3.4%"
"66","Highest Levelof Education Completed","Tucson Spanish","Some College",3,89,"3.4%"
"67","Highest Levelof Education Completed","Tucson Spanish","Trade/Technical",3,89,"3.4%"
"68","Household Size","Dewey-Humboldt","1",4,112,"3.6%"
"69","Household Size","Dewey-Humboldt","2",6,112,"5.4%"
"70","Household Size","Dewey-Humboldt","3",1,112,"0.9%"
"71","Household Size","Globe/Miami","1",3,112,"2.7%"
"72","Household Size","Globe/Miami","2",12,112,"10.7%"
"73","Household Size","Globe/Miami","4",3,112,"2.7%"
"74","Household Size","Globe/Miami","5",4,112,"3.6%"
"75","Household Size","Hayden/Winkelman","1",4,112,"3.6%"
"76","Household Size","Hayden/Winkelman","2",4,112,"3.6%"
"77","Household Size","Hayden/Winkelman","3",3,112,"2.7%"
"78","Household Size","Hayden/Winkelman","4",2,112,"1.8%"
"79","Household Size","Hayden/Winkelman","5",2,112,"1.8%"
"80","Household Size","Hayden/Winkelman","6",2,112,"1.8%"
"81","Household Size","Tucson","1",6,112,"5.4%"
"82","Household Size","Tucson","2",17,112,"15.2%"
"83","Household Size","Tucson","3",1,112,"0.9%"
"84","Household Size","Tucson","4",4,112,"3.6%"
"85","Household Size","Tucson","5",2,112,"1.8%"
"86","Household Size","Tucson Spanish","1",4,112,"3.6%"
"87","Household Size","Tucson Spanish","2",14,112,"12.5%"
"88","Household Size","Tucson Spanish","3",6,112,"5.4%"
"89","Household Size","Tucson Spanish","4",3,112,"2.7%"
"90","Household Size","Tucson Spanish","5",4,112,"3.6%"
"91","Household Size","Tucson Spanish","6",1,112,"0.9%"
"92","household_size","Dewey-Humboldt","1",4,112,"3.6%"
"93","household_size","Dewey-Humboldt","2",6,112,"5.4%"
"94","household_size","Dewey-Humboldt","3",1,112,"0.9%"
"95","household_size","Globe/Miami","1",3,112,"2.7%"
"96","household_size","Globe/Miami","2",12,112,"10.7%"
"97","household_size","Globe/Miami","4",3,112,"2.7%"
"98","household_size","Globe/Miami","5-6",4,112,"3.6%"
"99","household_size","Hayden/Winkelman","1",4,112,"3.6%"
