"","demographic","value","n","N","perc"
"1","BIPOC","Other",1,116,"0.9%"
"2","BIPOC","Person of color",56,116,"48.3%"
"3","BIPOC","White",59,116,"50.9%"
"4","Gender","Female",67,118,"56.8%"
"5","Gender","Male",50,118,"42.4%"
"6","Gender","Other",1,118,"0.8%"
"7","Highest Levelof Education Completed","College Degree",26,89,"29.2%"
"8","Highest Levelof Education Completed","Elementary/Primary",3,89,"3.4%"
"9","Highest Levelof Education Completed","High/Secondary",15,89,"16.9%"
"10","Highest Levelof Education Completed","Middle/Junior High",4,89,"4.5%"
"11","Highest Levelof Education Completed","Post-Graduate Degree",14,89,"15.7%"
"12","Highest Levelof Education Completed","Some College",20,89,"22.5%"
"13","Highest Levelof Education Completed","Trade/Technical",7,89,"7.9%"
"14","Household Size","1",21,112,"18.8%"
"15","Household Size","2",53,112,"47.3%"
"16","Household Size","3",11,112,"9.8%"
"17","Household Size","4",12,112,"10.7%"
"18","Household Size","5",12,112,"10.7%"
"19","Household Size","6",3,112,"2.7%"
"20","Income Level","Extremely Low Income 2015 HUD Guidelines",22,105,"21%"
"21","Income Level","Low Income 2015 HUD Guidelines",18,105,"17.1%"
"22","Income Level","Not Low Income",52,105,"49.5%"
"23","Income Level","Very Low Income 2015 HUD Guidelines",13,105,"12.4%"
"24","Low Income","Low Income or Below",53,105,"50.5%"
"25","Low Income","Not Low Income",52,105,"49.5%"
"26","MultipleRaces","Latino or Hispanic/Other/American Indian, Native American, or Alaskan Native",1,3,"33.3%"
"27","MultipleRaces","White, Caucasian, European American/Latino or Hispanic/African-American",1,3,"33.3%"
"28","MultipleRaces","White, Caucasian, European American/Native Hawaiian or Other Pacific Islander",1,3,"33.3%"
"29","Primary Language","English",89,119,"74.8%"
"30","Primary Language","Spanish",30,119,"25.2%"
"31","Race Ethnicity","Asian, Asian-American",4,116,"3.4%"
"32","Race Ethnicity","Hispanic or Latino",49,116,"42.2%"
"33","Race Ethnicity","Multiple",3,116,"2.6%"
"34","Race Ethnicity","Other",1,116,"0.9%"
"35","Race Ethnicity","White, Caucasian, European American",59,116,"50.9%"
"36","SecondaryLanguage","English",10,40,"25%"
"37","SecondaryLanguage","French",1,40,"2.5%"
"38","SecondaryLanguage","German",1,40,"2.5%"
"39","SecondaryLanguage","Korean",2,40,"5%"
"40","SecondaryLanguage","Spanish",26,40,"65%"
"41","Zip","85135",5,118,"4.2%"
"42","Zip","85192",11,118,"9.3%"
"43","Zip","85286",1,118,"0.8%"
"44","Zip","85501",19,118,"16.1%"
"45","Zip","85502",3,118,"2.5%"
"46","Zip","85539",1,118,"0.8%"
"47","Zip","85705",3,118,"2.5%"
"48","Zip","85706",6,118,"5.1%"
"49","Zip","85711",7,118,"5.9%"
"50","Zip","85712",2,118,"1.7%"
"51","Zip","85713",10,118,"8.5%"
"52","Zip","85714",5,118,"4.2%"
"53","Zip","85716",3,118,"2.5%"
"54","Zip","85718",1,118,"0.8%"
"55","Zip","85719",6,118,"5.1%"
"56","Zip","85730",1,118,"0.8%"
"57","Zip","85739",1,118,"0.8%"
"58","Zip","85745",7,118,"5.9%"
"59","Zip","85746",2,118,"1.7%"
"60","Zip","85748",3,118,"2.5%"
"61","Zip","85749",4,118,"3.4%"
"62","Zip","85750",1,118,"0.8%"
"63","Zip","85756",3,118,"2.5%"
"64","Zip","86314",2,118,"1.7%"
"65","Zip","86327",7,118,"5.9%"
"66","Zip","86333",3,118,"2.5%"
"67","Zip","86713",1,118,"0.8%"
