"","analyte","community_2","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","Dewey-Humboldt",42,0.0026,0.341,0.0147,0.0267,0.052,0.0158,2.42
"2","Ag","Globe/Miami",107,0.0015,0.156,0.017,0.0259,0.0273,0.0167,2.62
"3","Ag","Hayden/Winkelman",73,0.0018,0.48,0.017,0.0431,0.0789,0.018,3.56
"4","Ag","Tucson",69,0.0015,0.725,0.017,0.0444,0.112,0.0164,3.49
"5","Ag","Tucson Spanish",119,0.0012,1.11,0.014,0.0358,0.131,0.0143,2.68
"6","Al","Dewey-Humboldt",42,11,142,26,37.3,31.7,29.6,1.87
"7","Al","Globe/Miami",107,13,1850,49.9,117,249,60.7,2.59
"8","Al","Hayden/Winkelman",73,3.82,388,36.3,60.8,74,40.2,2.35
"9","Al","Tucson",69,7.94,211,30.6,43.1,37.4,33,2.04
"10","Al","Tucson Spanish",119,1.54,943,29.2,55.3,99,34.8,2.3
"11","As","Dewey-Humboldt",42,0.154,14.1,0.99,1.79,2.93,0.975,2.74
"12","As","Globe/Miami",107,0.16,7.42,0.92,1.1,0.983,0.827,2.12
"13","As","Hayden/Winkelman",73,0.139,40.3,2.63,4.79,6.29,2.78,2.85
"14","As","Tucson",69,0.108,5.42,0.801,1.14,1.07,0.841,2.16
"15","As","Tucson Spanish",119,0.18,13.7,0.92,1.41,2.14,0.883,2.36
"16","Ba","Dewey-Humboldt",42,0.314,34,4.19,7.41,7.81,4.54,2.84
"17","Ba","Globe/Miami",107,0.412,138,11.5,16.3,18.2,10.5,2.65
"18","Ba","Hayden/Winkelman",73,0.226,185,16.7,26,32.4,14,3.57
"19","Ba","Tucson",69,0.161,74.4,10.2,14.1,11.7,10.4,2.39
"20","Ba","Tucson Spanish",119,0.119,86.1,11,15.3,15.1,9.9,2.98
"21","Be","Dewey-Humboldt",42,0.0016,0.0707,0.017,0.0264,0.0225,0.0163,2.99
"22","Be","Globe/Miami",107,0.0025,0.795,0.04,0.0599,0.105,0.0353,2.58
"23","Be","Hayden/Winkelman",73,0.00063,1.4,0.0213,0.0491,0.164,0.0193,3.39
"24","Be","Tucson",69,0.00063,0.136,0.0115,0.0191,0.022,0.0109,3.14
"25","Be","Tucson Spanish",119,0.0019,0.511,0.018,0.0294,0.0491,0.0191,2.43
"26","Cd","Dewey-Humboldt",42,0.0061,1.38,0.0259,0.0702,0.217,0.0273,2.71
"27","Cd","Globe/Miami",107,0.0071,11.7,0.121,0.671,1.95,0.163,4.01
"28","Cd","Hayden/Winkelman",73,0.00528,2.64,0.191,0.401,0.535,0.198,3.53
"29","Cd","Tucson",69,0.0066,0.427,0.0558,0.0736,0.0639,0.0553,2.21
"30","Cd","Tucson Spanish",119,0.007,0.378,0.0474,0.065,0.0524,0.051,2
"31","Co","Dewey-Humboldt",42,0.0045,1.23,0.0804,0.186,0.271,0.0921,3.4
"32","Co","Globe/Miami",107,0.0059,7.9,0.165,0.57,1.24,0.206,3.77
"33","Co","Hayden/Winkelman",73,0.0059,1.25,0.12,0.195,0.237,0.118,2.77
"34","Co","Tucson",69,0.0059,1.41,0.0703,0.16,0.227,0.0882,2.88
"35","Co","Tucson Spanish",119,0.0045,2.42,0.0825,0.235,0.436,0.104,3.12
"36","Cr","Dewey-Humboldt",42,0.0732,86,0.405,2.76,13.2,0.48,3.59
"37","Cr","Globe/Miami",107,0.011,10.6,0.3,0.715,1.43,0.318,3.31
"38","Cr","Hayden/Winkelman",73,0.057,4.75,0.296,0.437,0.586,0.298,2.28
"39","Cr","Tucson",69,0.056,52.4,0.283,2.07,7.68,0.385,3.74
"40","Cr","Tucson Spanish",119,0.011,28.7,0.349,1,3,0.391,3.21
"41","Cu","Dewey-Humboldt",42,0.238,133,5.84,13.7,22,5.89,4.02
"42","Cu","Globe/Miami",107,0.921,2740,24.6,102,322,29.6,3.79
"43","Cu","Hayden/Winkelman",73,0.469,3160,59.5,135,380,48,4.41
"44","Cu","Tucson",69,1.06,685,11.1,28,83.3,12.3,2.86
"45","Cu","Tucson Spanish",119,0.237,244,18.2,27.9,31.8,18.2,2.69
"46","Fe","Dewey-Humboldt",42,4.39,455,29.5,69.7,104,35.2,3.09
"47","Fe","Globe/Miami",107,5.56,1600,38,74.6,176,39.8,2.57
"48","Fe","Hayden/Winkelman",73,2.5,548,34.5,68.3,99.2,36.2,3.01
"49","Fe","Tucson",69,4.2,1640,34.2,98.2,224,42.1,3.19
"50","Fe","Tucson Spanish",119,3.13,889,40.1,70.1,114,42.4,2.48
"51","Mn","Dewey-Humboldt",42,0.13,313,3.56,18.7,53.2,3.6,5.62
"52","Mn","Globe/Miami",107,0.149,612,9.92,45.2,94.9,11,5.81
"53","Mn","Hayden/Winkelman",73,0.168,113,8.47,13.1,18.5,6.22,3.96
"54","Mn","Tucson",69,0.0668,142,4.49,13.4,25.8,4.15,4.62
"55","Mn","Tucson Spanish",119,0.154,378,3.01,19.7,47.7,4.13,5.39
"56","Mo","Dewey-Humboldt",42,0.016,11.7,0.166,0.891,2.45,0.217,4.07
"57","Mo","Globe/Miami",107,0.066,5.48,0.439,0.82,1.01,0.514,2.47
"58","Mo","Hayden/Winkelman",73,0.113,11.1,1.47,2.16,2.07,1.4,2.71
"59","Mo","Tucson",69,0.163,5.81,1.57,1.79,1.14,1.5,1.84
"60","Mo","Tucson Spanish",119,0.0078,25.6,2.92,3.79,3.82,2.67,2.61
"61","Ni","Dewey-Humboldt",42,0.0571,59.7,0.56,2.51,9.1,0.784,3.31
"62","Ni","Globe/Miami",107,0.0841,466,0.752,8.97,49.9,1.05,4.21
"63","Ni","Hayden/Winkelman",73,0.083,4.18,0.491,0.733,0.698,0.544,2.12
"64","Ni","Tucson",69,0.129,17.4,0.651,1.2,2.26,0.716,2.38
"65","Ni","Tucson Spanish",119,0.0681,13.3,0.835,1.47,2.1,0.895,2.49
"66","Pb","Dewey-Humboldt",42,0.0142,3.18,0.196,0.658,0.84,0.3,3.75
"67","Pb","Globe/Miami",107,0.0355,27.2,0.643,1.71,3.68,0.65,3.64
"68","Pb","Hayden/Winkelman",73,0.0319,23.6,0.649,2.11,4.3,0.74,3.96
"69","Pb","Tucson",69,0.0377,350,0.556,7.87,42.9,0.693,5.24
"70","Pb","Tucson Spanish",119,0.0382,20.8,0.537,1.67,3.37,0.622,3.84
"71","Sb","Dewey-Humboldt",42,0.106,1.38,0.33,0.406,0.239,0.349,1.75
"72","Sb","Globe/Miami",107,0.12,4.42,0.502,0.65,0.626,0.505,1.96
"73","Sb","Hayden/Winkelman",73,0.16,9.15,0.669,1.04,1.29,0.705,2.25
"74","Sb","Tucson",69,0.151,5.35,0.589,0.812,0.788,0.616,2.03
"75","Sb","Tucson Spanish",119,0.11,8.16,0.628,0.813,0.973,0.623,1.91
"76","Se","Dewey-Humboldt",42,0.16,11.7,1.6,2.07,1.96,1.47,2.44
"77","Se","Globe/Miami",107,0.16,7.43,1.21,1.89,1.65,1.29,2.5
"78","Se","Hayden/Winkelman",73,0.25,6.16,1.6,1.84,1.33,1.44,2.07
"79","Se","Tucson",69,0.16,7.38,1.39,1.89,1.73,1.2,2.8
"80","Se","Tucson Spanish",119,0.16,11.6,1.6,1.85,1.75,1.23,2.63
"81","Sn","Dewey-Humboldt",42,0.011,2.47,0.0484,0.15,0.383,0.0617,3.11
"82","Sn","Globe/Miami",107,0.00511,80.7,0.0879,1.24,8,0.104,4.42
"83","Sn","Hayden/Winkelman",73,0.00196,2.94,0.0714,0.178,0.393,0.0652,3.93
"84","Sn","Tucson",69,0.011,2.42,0.0894,0.264,0.424,0.112,3.58
"85","Sn","Tucson Spanish",119,0.011,3.21,0.113,0.214,0.366,0.114,2.9
"86","V","Dewey-Humboldt",42,0.145,9.54,1.93,2.69,2.38,1.83,2.55
"87","V","Globe/Miami",107,0.176,13.2,1.4,1.88,1.95,1.29,2.35
"88","V","Hayden/Winkelman",73,0.173,17.5,1.49,2.43,2.64,1.7,2.27
"89","V","Tucson",69,0.239,11.4,1.33,2.09,2.16,1.44,2.32
"90","V","Tucson Spanish",119,0.23,29,2.32,3.46,4.49,2.23,2.47
"91","Zn","Dewey-Humboldt",42,1.4,3640,31.2,185,572,40.7,4.63
"92","Zn","Globe/Miami",107,3.94,4170,119,351,678,116,4.59
"93","Zn","Hayden/Winkelman",73,5.95,1280,50.3,153,272,55.4,3.89
