"","analyte","community_2","season","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","Dewey-Humboldt","Winter",27,0.0026,0.0703,0.014,0.0168,0.013,0.0133,2.08
"2","Ag","Dewey-Humboldt","Monsoon",15,0.00442,0.341,0.017,0.0444,0.0841,0.0215,2.88
"3","Ag","Globe/Miami","Winter",68,0.0018,0.156,0.0172,0.0272,0.0307,0.0167,2.75
"4","Ag","Globe/Miami","Monsoon",39,0.0015,0.0858,0.017,0.0236,0.0204,0.0167,2.43
"5","Ag","Hayden/Winkelman","Winter",55,0.0018,0.48,0.02,0.0509,0.0895,0.0188,4.12
"6","Ag","Hayden/Winkelman","Monsoon",18,0.00522,0.0541,0.017,0.0194,0.0132,0.0158,1.96
"7","Ag","Tucson","Winter",48,0.0018,0.192,0.0121,0.0218,0.0317,0.0124,2.72
"8","Ag","Tucson","Monsoon",21,0.0015,0.725,0.024,0.0962,0.19,0.0306,4.65
"9","Ag","Tucson Spanish","Winter",83,0.00267,1.11,0.011,0.032,0.122,0.0134,2.56
"10","Ag","Tucson Spanish","Monsoon",36,0.0012,0.927,0.017,0.0445,0.152,0.0166,2.95
"11","Al","Dewey-Humboldt","Winter",27,11,142,23.3,32.5,28.7,26.3,1.8
"12","Al","Dewey-Humboldt","Monsoon",15,16,136,29.7,46,36,36.8,1.93
"13","Al","Globe/Miami","Winter",68,14.4,1500,46,92.7,188,53.6,2.39
"14","Al","Globe/Miami","Monsoon",39,13,1850,62.5,160,329,75.3,2.87
"15","Al","Hayden/Winkelman","Winter",55,3.82,359,33.4,56,68.7,37.1,2.35
"16","Al","Hayden/Winkelman","Monsoon",18,16.6,388,45.1,75.8,88.6,51.3,2.3
"17","Al","Tucson","Winter",48,7.94,211,28,39.3,34,30.6,2
"18","Al","Tucson","Monsoon",21,15.5,199,47.9,51.7,43.8,39.2,2.11
"19","Al","Tucson Spanish","Winter",83,1.54,943,27.9,54.5,108,33.7,2.33
"20","Al","Tucson Spanish","Monsoon",36,10.3,405,33,57,77,37.8,2.24
"21","As","Dewey-Humboldt","Winter",27,0.154,3.06,0.85,0.846,0.663,0.649,2.12
"22","As","Dewey-Humboldt","Monsoon",15,0.498,14.1,1.37,3.49,4.41,2.03,2.75
"23","As","Globe/Miami","Winter",68,0.16,3.84,0.689,0.833,0.736,0.633,2.07
"24","As","Globe/Miami","Monsoon",39,0.459,7.42,1.23,1.56,1.18,1.32,1.71
"25","As","Hayden/Winkelman","Winter",55,0.139,22,2.4,3.35,3.76,2.18,2.6
"26","As","Hayden/Winkelman","Monsoon",18,1.17,40.3,6.07,9.19,9.77,5.8,2.7
"27","As","Tucson","Winter",48,0.108,5.42,0.77,1.04,1.03,0.76,2.19
"28","As","Tucson","Monsoon",21,0.34,4.42,0.92,1.37,1.15,1.06,2.03
"29","As","Tucson Spanish","Winter",83,0.18,9.8,0.61,1.16,1.75,0.725,2.33
"30","As","Tucson Spanish","Monsoon",36,0.372,13.7,1.15,1.99,2.78,1.39,2.03
"31","Ba","Dewey-Humboldt","Winter",27,0.314,30,2.99,4.46,5.8,2.9,2.5
"32","Ba","Dewey-Humboldt","Monsoon",15,2.02,34,12,12.7,8.3,10.2,2.09
"33","Ba","Globe/Miami","Winter",68,0.412,37.7,7.17,9.87,8.26,7.21,2.32
"34","Ba","Globe/Miami","Monsoon",39,0.953,138,19.7,27.5,24.6,20.3,2.31
"35","Ba","Hayden/Winkelman","Winter",55,0.226,126,13.5,21,27.5,10.8,3.67
"36","Ba","Hayden/Winkelman","Monsoon",18,4.77,185,30.6,41.4,41.3,30.2,2.24
"37","Ba","Tucson","Winter",48,0.161,36.9,9.4,12.3,8.63,9.19,2.49
"38","Ba","Tucson","Monsoon",21,5.21,74.4,12.3,18.1,16.3,13.9,2.02
"39","Ba","Tucson Spanish","Winter",83,0.119,74.3,8.76,12.5,13.2,7.91,3.06
"40","Ba","Tucson Spanish","Monsoon",36,0.556,86.1,19.5,21.7,17.3,16.6,2.32
"41","Be","Dewey-Humboldt","Winter",27,0.0016,0.064,0.018,0.0267,0.0229,0.0158,3.24
"42","Be","Dewey-Humboldt","Monsoon",15,0.00362,0.0707,0.016,0.0259,0.0226,0.0174,2.64
"43","Be","Globe/Miami","Winter",68,0.0025,0.505,0.04,0.0436,0.0636,0.0288,2.46
"44","Be","Globe/Miami","Monsoon",39,0.0099,0.795,0.049,0.0884,0.15,0.0502,2.55
"45","Be","Hayden/Winkelman","Winter",55,0.00063,1.4,0.04,0.0584,0.188,0.0206,3.82
"46","Be","Hayden/Winkelman","Monsoon",18,0.0057,0.0689,0.0155,0.0206,0.0167,0.0158,2.09
"47","Be","Tucson","Winter",48,0.00063,0.136,0.0115,0.0212,0.0255,0.0106,3.67
"48","Be","Tucson","Monsoon",21,0.0017,0.0352,0.0111,0.0143,0.00897,0.0117,2.01
"49","Be","Tucson Spanish","Winter",83,0.0019,0.511,0.018,0.0312,0.0576,0.0182,2.71
"50","Be","Tucson Spanish","Monsoon",36,0.00734,0.104,0.0184,0.0251,0.0183,0.0211,1.75
"51","Cd","Dewey-Humboldt","Winter",27,0.0061,0.0853,0.0192,0.0244,0.0161,0.0205,1.83
"52","Cd","Dewey-Humboldt","Monsoon",15,0.011,1.38,0.0375,0.153,0.356,0.0457,3.81
"53","Cd","Globe/Miami","Winter",68,0.0071,11.7,0.0956,0.61,2.03,0.124,3.84
"54","Cd","Globe/Miami","Monsoon",39,0.025,10.1,0.281,0.777,1.82,0.263,3.86
"55","Cd","Hayden/Winkelman","Winter",55,0.00528,1.54,0.175,0.307,0.359,0.166,3.39
"56","Cd","Hayden/Winkelman","Monsoon",18,0.0625,2.64,0.277,0.69,0.829,0.337,3.55
"57","Cd","Tucson","Winter",48,0.0066,0.264,0.0553,0.0691,0.0495,0.0542,2.12
"58","Cd","Tucson","Monsoon",21,0.011,0.427,0.0564,0.0839,0.0894,0.0578,2.45
"59","Cd","Tucson Spanish","Winter",83,0.007,0.378,0.0468,0.0635,0.0566,0.0488,2.03
"60","Cd","Tucson Spanish","Monsoon",36,0.011,0.162,0.0628,0.0684,0.0415,0.0565,1.92
"61","Co","Dewey-Humboldt","Winter",27,0.0045,0.622,0.0665,0.103,0.128,0.0607,3.01
"62","Co","Dewey-Humboldt","Monsoon",15,0.0265,1.23,0.155,0.334,0.384,0.195,2.98
"63","Co","Globe/Miami","Winter",68,0.0059,7.89,0.109,0.365,1.05,0.13,3.24
"64","Co","Globe/Miami","Monsoon",39,0.023,7.9,0.483,0.927,1.46,0.463,3.3
"65","Co","Hayden/Winkelman","Winter",55,0.0059,0.633,0.091,0.138,0.127,0.093,2.58
"66","Co","Hayden/Winkelman","Monsoon",18,0.0623,1.25,0.189,0.371,0.378,0.246,2.46
"67","Co","Tucson","Winter",48,0.0059,0.556,0.0577,0.0903,0.0956,0.0622,2.38
"68","Co","Tucson","Monsoon",21,0.0366,1.41,0.182,0.319,0.34,0.196,2.82
"69","Co","Tucson Spanish","Winter",83,0.0045,2.42,0.0669,0.169,0.39,0.0759,2.81
"70","Co","Tucson Spanish","Monsoon",36,0.0385,1.86,0.164,0.388,0.499,0.214,2.84
"71","Cr","Dewey-Humboldt","Winter",27,0.0732,86,0.318,3.93,16.5,0.433,4.69
"72","Cr","Dewey-Humboldt","Monsoon",15,0.3,1.6,0.476,0.67,0.403,0.579,1.71
"73","Cr","Globe/Miami","Winter",68,0.011,7.24,0.241,0.568,1.1,0.239,3.48
"74","Cr","Globe/Miami","Monsoon",39,0.112,10.6,0.495,0.971,1.85,0.521,2.53
"75","Cr","Hayden/Winkelman","Winter",55,0.057,4.75,0.269,0.42,0.649,0.276,2.26
"76","Cr","Hayden/Winkelman","Monsoon",18,0.071,1.09,0.43,0.492,0.335,0.374,2.28
"77","Cr","Tucson","Winter",48,0.056,11.7,0.247,0.678,1.81,0.287,2.79
"78","Cr","Tucson","Monsoon",21,0.17,52.4,0.343,5.25,13.3,0.75,5.28
"79","Cr","Tucson Spanish","Winter",83,0.011,13.6,0.265,0.708,1.8,0.298,3.12
"80","Cr","Tucson Spanish","Monsoon",36,0.174,28.7,0.593,1.67,4.69,0.735,2.68
"81","Cu","Dewey-Humboldt","Winter",27,0.238,41.5,3.98,10.6,12.4,4.72,4.18
"82","Cu","Dewey-Humboldt","Monsoon",15,1.72,133,10.6,19.4,32.8,8.76,3.55
"83","Cu","Globe/Miami","Winter",68,0.921,1640,16.5,79,237,21.9,3.62
"84","Cu","Globe/Miami","Monsoon",39,1.6,2740,50.4,142,433,50.2,3.54
"85","Cu","Hayden/Winkelman","Winter",55,0.469,3160,43,120,424,38.2,4.43
"86","Cu","Hayden/Winkelman","Monsoon",18,5.25,658,94.5,180,190,96.5,3.56
"87","Cu","Tucson","Winter",48,1.06,685,9.98,31,99.1,11.2,3.16
"88","Cu","Tucson","Monsoon",21,4.11,101,15.4,21.1,21.7,15.5,2.13
"89","Cu","Tucson Spanish","Winter",83,0.237,244,17.6,28.3,35.9,17,2.98
"90","Cu","Tucson Spanish","Monsoon",36,6.33,89.7,18.9,26.9,19.7,21.2,1.99
"91","Fe","Dewey-Humboldt","Winter",27,4.39,442,25.6,57,85.9,30.4,3.02
"92","Fe","Dewey-Humboldt","Monsoon",15,9.96,455,36.8,92.6,130,45.9,3.19
"93","Fe","Globe/Miami","Winter",68,5.56,404,37.7,52,54.9,37.1,2.27
"94","Fe","Globe/Miami","Monsoon",39,7.7,1600,40.9,114,281,45,3.09
"95","Fe","Hayden/Winkelman","Winter",55,2.5,454,27.8,54.1,82.1,30.5,2.76
