"","analyte","Highest Levelof Education Completed","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","College Degree",97,0.0015,0.584,0.017,0.0333,0.0699,0.0165,2.93
"2","Ag","Elementary/Primary",9,0.0054,0.117,0.0123,0.0299,0.0381,0.017,2.88
"3","Ag","High/Secondary",55,0.0015,0.927,0.014,0.0323,0.123,0.0127,2.72
"4","Ag","Middle/Junior High",23,0.0018,1.11,0.017,0.0805,0.232,0.0179,4.54
"5","Ag","Post-Graduate Degree",30,0.00368,0.725,0.017,0.0546,0.133,0.0208,3.27
"6","Ag","Some College",76,0.0015,0.207,0.0151,0.0255,0.0333,0.0162,2.47
"7","Ag","Trade/Technical",23,0.0012,0.158,0.014,0.0228,0.0329,0.0123,3.18
"8","Ag",NA,97,0.0015,0.48,0.017,0.0323,0.0616,0.0168,2.87
"9","Al","College Degree",97,7.94,1060,35.7,66,119,40.3,2.38
"10","Al","Elementary/Primary",9,17.7,276,41.2,69.7,81.6,46.6,2.39
"11","Al","High/Secondary",55,1.54,1500,36.3,93.1,211,42.3,3.05
"12","Al","Middle/Junior High",23,10.9,943,34.3,92,194,43.3,2.78
"13","Al","Post-Graduate Degree",30,14.6,199,24.7,43.5,39.7,33.2,2
"14","Al","Some College",76,13,359,33,57,61.9,40.6,2.14
"15","Al","Trade/Technical",23,12.9,142,34.6,53.8,39.7,42.2,2.03
"16","Al",NA,97,3.82,1850,36.2,71.9,192,39.6,2.36
"17","As","College Degree",97,0.154,14.4,0.92,1.38,1.93,0.907,2.32
"18","As","Elementary/Primary",9,0.314,2.09,1.04,1.07,0.556,0.937,1.79
"19","As","High/Secondary",55,0.18,13.7,1.29,2.58,3.34,1.38,3.02
"20","As","Middle/Junior High",23,0.139,14.8,1.02,3.04,4.3,1.34,3.62
"21","As","Post-Graduate Degree",30,0.108,5.42,0.823,1.26,1.34,0.817,2.6
"22","As","Some College",76,0.16,40.3,1.06,2.88,5.88,1.29,3.06
"23","As","Trade/Technical",23,0.28,14.1,0.99,2.11,3.81,0.974,2.95
"24","As",NA,97,0.16,7.42,1.03,1.33,1.17,0.99,2.16
"25","Ba","College Degree",97,0.161,80.7,10.2,13.9,12.9,9.17,2.87
"26","Ba","Elementary/Primary",9,9.44,54.2,21.9,23.1,13.6,20.2,1.72
"27","Ba","High/Secondary",55,0.119,86.1,16.4,20.5,19.6,11.3,4.17
