"","analyte","community","n","detections_freq"
"1","Ag","Dewey-Humboldt",53,49.1
"2","Ag","Globe/Miami",124,61.3
"3","Ag","Hayden/Winkelman",93,67.7
"4","Ag","Tucson",307,51.5
"5","Al","Dewey-Humboldt",53,100
"6","Al","Globe/Miami",124,100
"7","Al","Hayden/Winkelman",93,100
"8","Al","Tucson",307,100
"9","As","Dewey-Humboldt",53,77.4
"10","As","Globe/Miami",124,70.2
"11","As","Hayden/Winkelman",93,96.8
"12","As","Tucson",307,74.9
"13","Ba","Dewey-Humboldt",53,100
"14","Ba","Globe/Miami",124,100
"15","Ba","Hayden/Winkelman",93,100
"16","Ba","Tucson",307,100
"17","Be","Dewey-Humboldt",53,49.1
"18","Be","Globe/Miami",124,65.3
"19","Be","Hayden/Winkelman",93,51.6
"20","Be","Tucson",307,50.5
"21","Cd","Dewey-Humboldt",53,71.7
"22","Cd","Globe/Miami",124,96
"23","Cd","Hayden/Winkelman",93,98.9
"24","Cd","Tucson",307,91.2
"25","Co","Dewey-Humboldt",53,96.2
"26","Co","Globe/Miami",124,98.4
"27","Co","Hayden/Winkelman",93,98.9
"28","Co","Tucson",307,98
"29","Cr","Dewey-Humboldt",53,88.7
"30","Cr","Globe/Miami",124,85.5
"31","Cr","Hayden/Winkelman",93,92.5
"32","Cr","Tucson",307,91.2
"33","Cu","Dewey-Humboldt",53,100
"34","Cu","Globe/Miami",124,100
"35","Cu","Hayden/Winkelman",93,100
"36","Cu","Tucson",307,100
"37","Fe","Dewey-Humboldt",53,100
"38","Fe","Globe/Miami",124,100
"39","Fe","Hayden/Winkelman",93,100
"40","Fe","Tucson",307,99.3
"41","Mn","Dewey-Humboldt",53,100
"42","Mn","Globe/Miami",124,100
"43","Mn","Hayden/Winkelman",93,100
"44","Mn","Tucson",307,100
"45","Mo","Dewey-Humboldt",53,100
"46","Mo","Globe/Miami",124,100
"47","Mo","Hayden/Winkelman",93,100
"48","Mo","Tucson",307,99.7
"49","Ni","Dewey-Humboldt",53,100
"50","Ni","Globe/Miami",124,100
"51","Ni","Hayden/Winkelman",93,98.9
"52","Ni","Tucson",307,99.3
"53","Pb","Dewey-Humboldt",53,100
"54","Pb","Globe/Miami",124,100
"55","Pb","Hayden/Winkelman",93,100
"56","Pb","Tucson",307,99.7
"57","Sb","Dewey-Humboldt",53,100
"58","Sb","Globe/Miami",124,100
"59","Sb","Hayden/Winkelman",93,100
"60","Sb","Tucson",307,100
"61","Se","Dewey-Humboldt",53,39.6
"62","Se","Globe/Miami",124,46.8
"63","Se","Hayden/Winkelman",93,58.1
"64","Se","Tucson",307,48.5
"65","Sn","Dewey-Humboldt",53,71.7
"66","Sn","Globe/Miami",124,84.7
"67","Sn","Hayden/Winkelman",93,81.7
"68","Sn","Tucson",307,89.6
"69","V","Dewey-Humboldt",53,75.5
"70","V","Globe/Miami",124,69.4
"71","V","Hayden/Winkelman",93,84.9
"72","V","Tucson",307,87.3
"73","Zn","Dewey-Humboldt",53,100
"74","Zn","Globe/Miami",124,100
"75","Zn","Hayden/Winkelman",93,100
"76","Zn","Tucson",307,100
