"","analyte","site","n","detections_freq"
"1","Ag","D302",2,100
"2","Ag","D303",2,100
"3","Ag","D304",1,100
"4","Ag","D305",6,33.3
"5","Ag","D306",1,100
"6","Ag","D307",3,66.7
"7","Ag","D308",6,50
"8","Ag","D309",3,100
"9","Ag","D310",1,100
"10","Ag","D311",4,75
"11","Ag","D312",2,0
"12","Ag","D315",2,50
"13","Ag","D316",2,100
"14","Ag","D317",6,16.7
"15","Ag","D319",2,0
"16","Ag","D321",6,16.7
"17","Ag","D325",2,50
"18","Ag","D326",2,0
"19","Ag","G400",6,50
"20","Ag","G401",5,20
"21","Ag","G402",7,57.1
"22","Ag","G403",6,16.7
"23","Ag","G404",5,60
"24","Ag","G405",5,80
"25","Ag","G407",5,60
"26","Ag","G408",2,50
"27","Ag","G409",2,100
"28","Ag","G410",5,100
"29","Ag","G412",6,33.3
"30","Ag","G413",6,66.7
"31","Ag","G414",6,33.3
"32","Ag","G415",6,66.7
"33","Ag","G416",4,100
"34","Ag","G417",5,80
"35","Ag","G418",5,100
"36","Ag","G419",3,100
"37","Ag","G420",5,60
"38","Ag","G422",5,80
"39","Ag","G424",4,50
"40","Ag","G425",4,75
"41","Ag","G426",5,20
"42","Ag","G427",5,60
"43","Ag","G428",6,66.7
"44","Ag","G429",1,100
"45","Ag","H203",5,60
"46","Ag","H204",5,60
"47","Ag","H205",3,66.7
"48","Ag","H206",6,83.3
"49","Ag","H208",7,28.6
"50","Ag","H209",6,83.3
"51","Ag","H210",6,66.7
"52","Ag","H211",4,75
"53","Ag","H212",2,100
"54","Ag","H213",4,50
"55","Ag","H214",5,80
"56","Ag","H215",5,60
"57","Ag","H216",5,100
"58","Ag","H217",5,80
"59","Ag","H218",4,100
"60","Ag","H219",4,50
"61","Ag","H220",5,40
"62","Ag","H221",6,83.3
"63","Ag","H222",4,50
"64","Ag","H224",1,100
"65","Ag","H225",1,0
"66","Ag","T002",2,100
"67","Ag","T006",1,0
"68","Ag","T008",2,50
"69","Ag","T009",2,100
"70","Ag","T010",2,0
"71","Ag","T013",1,0
"72","Ag","T014",2,0
"73","Ag","T015",2,0
"74","Ag","T016",1,100
"75","Ag","T018",2,50
"76","Ag","T019",2,100
"77","Ag","T020",2,0
"78","Ag","T022",2,50
"79","Ag","T023",2,0
"80","Ag","T024",2,0
"81","Ag","T025",2,0
"82","Ag","T029",2,50
"83","Ag","T033",1,0
"84","Ag","T034",2,0
"85","Ag","T035",2,50
"86","Ag","T036",2,0
"87","Ag","T037",1,0
"88","Ag","T038",2,50
"89","Ag","T039",2,50
"90","Ag","T040",2,0
"91","Ag","T041",1,0
"92","Ag","T044",2,0
"93","Ag","T046",2,0
"94","Ag","T047",2,0
"95","Ag","T048",1,100
"96","Ag","T101",6,66.7
"97","Ag","T102",6,16.7
"98","Ag","T104",4,75
"99","Ag","T105",1,100
"100","Ag","T106",4,100
"101","Ag","T107",4,75
"102","Ag","T108",1,100
"103","Ag","T109",6,50
"104","Ag","T110",4,75
"105","Ag","T111",4,25
"106","Ag","T112",3,100
"107","Ag","T113",6,16.7
"108","Ag","T114",5,40
"109","Ag","T115",1,100
"110","Ag","T116",4,100
"111","Ag","T117",5,80
"112","Ag","T118",2,100
"113","Ag","T119",1,100
"114","Ag","T120",4,25
"115","Ag","T121",6,16.7
"116","Ag","T122",6,33.3
"117","Ag","T123",4,75
"118","Ag","T127",3,66.7
"119","Ag","T128",6,66.7
"120","Ag","T129",2,50
"121","Ag","T132",4,50
"122","Ag","T133",2,100
"123","Ag","T134",1,100
"124","Ag","T135",1,100
"125","Ag","T137",3,66.7
"126","Ag","T138",5,40
"127","Ag","T141",5,80
