"","analyte","season","community","n","detections_freq"
"1","Ag","Winter","Dewey-Humboldt",34,52.9
"2","Ag","Winter","Globe/Miami",79,67.1
"3","Ag","Winter","Hayden/Winkelman",67,68.7
"4","Ag","Winter","Tucson",220,56.4
"5","Ag","Monsoon","Dewey-Humboldt",19,42.1
"6","Ag","Monsoon","Globe/Miami",45,51.1
"7","Ag","Monsoon","Hayden/Winkelman",26,65.4
"8","Ag","Monsoon","Tucson",87,39.1
"9","Al","Winter","Dewey-Humboldt",34,100
"10","Al","Winter","Globe/Miami",79,100
"11","Al","Winter","Hayden/Winkelman",67,100
"12","Al","Winter","Tucson",220,100
"13","Al","Monsoon","Dewey-Humboldt",19,100
"14","Al","Monsoon","Globe/Miami",45,100
"15","Al","Monsoon","Hayden/Winkelman",26,100
"16","Al","Monsoon","Tucson",87,100
"17","As","Winter","Dewey-Humboldt",34,64.7
"18","As","Winter","Globe/Miami",79,60.8
"19","As","Winter","Hayden/Winkelman",67,95.5
"20","As","Winter","Tucson",220,70.5
"21","As","Monsoon","Dewey-Humboldt",19,100
"22","As","Monsoon","Globe/Miami",45,86.7
"23","As","Monsoon","Hayden/Winkelman",26,100
"24","As","Monsoon","Tucson",87,86.2
"25","Ba","Winter","Dewey-Humboldt",34,100
"26","Ba","Winter","Globe/Miami",79,100
"27","Ba","Winter","Hayden/Winkelman",67,100
"28","Ba","Winter","Tucson",220,100
"29","Ba","Monsoon","Dewey-Humboldt",19,100
"30","Ba","Monsoon","Globe/Miami",45,100
"31","Ba","Monsoon","Hayden/Winkelman",26,100
"32","Ba","Monsoon","Tucson",87,100
"33","Be","Winter","Dewey-Humboldt",34,35.3
"34","Be","Winter","Globe/Miami",79,50.6
"35","Be","Winter","Hayden/Winkelman",67,40.3
"36","Be","Winter","Tucson",220,43.2
"37","Be","Monsoon","Dewey-Humboldt",19,73.7
"38","Be","Monsoon","Globe/Miami",45,91.1
"39","Be","Monsoon","Hayden/Winkelman",26,80.8
"40","Be","Monsoon","Tucson",87,69
"41","Cd","Winter","Dewey-Humboldt",34,73.5
"42","Cd","Winter","Globe/Miami",79,96.2
"43","Cd","Winter","Hayden/Winkelman",67,98.5
"44","Cd","Winter","Tucson",220,95.5
"45","Cd","Monsoon","Dewey-Humboldt",19,68.4
"46","Cd","Monsoon","Globe/Miami",45,95.6
"47","Cd","Monsoon","Hayden/Winkelman",26,100
"48","Cd","Monsoon","Tucson",87,80.5
"49","Co","Winter","Dewey-Humboldt",34,94.1
"50","Co","Winter","Globe/Miami",79,98.7
"51","Co","Winter","Hayden/Winkelman",67,98.5
"52","Co","Winter","Tucson",220,97.7
"53","Co","Monsoon","Dewey-Humboldt",19,100
"54","Co","Monsoon","Globe/Miami",45,97.8
"55","Co","Monsoon","Hayden/Winkelman",26,100
"56","Co","Monsoon","Tucson",87,98.9
"57","Cr","Winter","Dewey-Humboldt",34,85.3
"58","Cr","Winter","Globe/Miami",79,81
"59","Cr","Winter","Hayden/Winkelman",67,92.5
"60","Cr","Winter","Tucson",220,90.9
"61","Cr","Monsoon","Dewey-Humboldt",19,94.7
"62","Cr","Monsoon","Globe/Miami",45,93.3
"63","Cr","Monsoon","Hayden/Winkelman",26,92.3
"64","Cr","Monsoon","Tucson",87,92
"65","Cu","Winter","Dewey-Humboldt",34,100
"66","Cu","Winter","Globe/Miami",79,100
"67","Cu","Winter","Hayden/Winkelman",67,100
"68","Cu","Winter","Tucson",220,100
"69","Cu","Monsoon","Dewey-Humboldt",19,100
"70","Cu","Monsoon","Globe/Miami",45,100
"71","Cu","Monsoon","Hayden/Winkelman",26,100
"72","Cu","Monsoon","Tucson",87,100
"73","Fe","Winter","Dewey-Humboldt",34,100
"74","Fe","Winter","Globe/Miami",79,100
"75","Fe","Winter","Hayden/Winkelman",67,100
"76","Fe","Winter","Tucson",220,99.1
"77","Fe","Monsoon","Dewey-Humboldt",19,100
