"","analyte","n","AI","DW","FB","LDW","PB"
"1","Al",577,0.35,34,NA,0.35,NA
"2","As",577,0.17,3.5,0.52,3.5,0
"3","Be",577,0,0.17,0,NA,0
"4","Cd",577,0.69,1.7,0,0,0
"5","Cr",577,0.17,0.17,0,0,0
"6","Cu",577,6.1,0.69,0.69,2.3,0.69
"7","Fe",577,0,4.9,NA,4.9,NA
"8","Mn",577,2.9,13,0,13,0
"9","Mo",577,3.1,NA,NA,NA,NA
"10","Ni",577,0.35,0.35,0,NA,0
"11","Pb",577,0,3.3,3.3,0.35,3.3
"12","Se",577,0,0,0,0,0
"13","V",577,0,NA,NA,0,NA
"14","Zn",577,4.3,1.9,0,0,0
"15","Ba",577,NA,0,0,0,0
"16","Sb",577,NA,1.4,0,NA,0
"17","Ag",577,NA,NA,0,NA,0
"18","Co",577,NA,NA,NA,0,NA
