"","analyte","season","n","AI","DW","FB","LDW","PB"
"1","Al","Winter",400,0,31,NA,0,NA
"2","Al","Monsoon",177,1.1,41,NA,1.1,NA
"3","As","Winter",400,0,1,0,1,0
"4","As","Monsoon",177,0.56,9,1.7,9,0
"5","Be","Winter",400,0,0,0,NA,0
"6","Be","Monsoon",177,0,0.56,0,NA,0
"7","Cd","Winter",400,0.5,1.8,0,0,0
"8","Cd","Monsoon",177,1.1,1.7,0,0,0
"9","Cr","Winter",400,0,0,0,0,0
"10","Cr","Monsoon",177,0.56,0.56,0,0,0
"11","Cu","Winter",400,4.5,0.5,0.5,2,0.5
"12","Cu","Monsoon",177,9.6,1.1,1.1,2.8,1.1
"13","Fe","Winter",400,0,2.2,NA,2.2,NA
"14","Fe","Monsoon",177,0,11,NA,11,NA
"15","Mn","Winter",400,1.2,4.2,0,4.2,0
"16","Mn","Monsoon",177,6.8,32,0,32,0
"17","Mo","Winter",400,2,NA,NA,NA,NA
"18","Mo","Monsoon",177,5.6,NA,NA,NA,NA
"19","Ni","Winter",400,0.5,0.5,0,NA,0
"20","Ni","Monsoon",177,0,0,0,NA,0
"21","Pb","Winter",400,0,1.8,1.8,0.25,1.8
"22","Pb","Monsoon",177,0,6.8,6.8,0.56,6.8
"23","Se","Winter",400,0,0,0,0,0
"24","Se","Monsoon",177,0,0,0,0,0
"25","V","Winter",400,0,NA,NA,0,NA
"26","V","Monsoon",177,0,NA,NA,0,NA
"27","Zn","Winter",400,3.2,1.2,0,0,0
"28","Zn","Monsoon",177,6.8,3.4,0,0,0
"29","Ba","Winter",400,NA,0,0,0,0
"30","Ba","Monsoon",177,NA,0,0,0,0
"31","Sb","Winter",400,NA,0.5,0,NA,0
"32","Sb","Monsoon",177,NA,3.4,0,NA,0
"33","Ag","Winter",400,NA,NA,0,NA,0
"34","Ag","Monsoon",177,NA,NA,0,NA,0
"35","Co","Winter",400,NA,NA,NA,0,NA
"36","Co","Monsoon",177,NA,NA,NA,0,NA
