"","analyte","season","community","n","AI","DW","FB","LDW","PB"
"1","Al","Winter","Dewey-Humboldt",34,0,15,NA,0,NA
"2","Al","Winter","Globe/Miami",79,0,49,NA,0,NA
"3","Al","Winter","Hayden/Winkelman",67,0,30,NA,0,NA
"4","Al","Winter","Tucson",220,0,28,NA,0,NA
"5","Al","Monsoon","Dewey-Humboldt",19,0,37,NA,0,NA
"6","Al","Monsoon","Globe/Miami",45,4.4,58,NA,4.4,NA
"7","Al","Monsoon","Hayden/Winkelman",26,0,46,NA,0,NA
"8","Al","Monsoon","Tucson",87,0,32,NA,0,NA
"9","As","Winter","Dewey-Humboldt",34,0,0,0,0,0
"10","As","Winter","Globe/Miami",79,0,0,0,0,0
"11","As","Winter","Hayden/Winkelman",67,0,6,0,6,0
"12","As","Winter","Tucson",220,0,0,0,0,0
"13","As","Monsoon","Dewey-Humboldt",19,0,11,0,11,0
"14","As","Monsoon","Globe/Miami",45,0,0,0,0,0
"15","As","Monsoon","Hayden/Winkelman",26,3.8,46,12,46,0
"16","As","Monsoon","Tucson",87,0,2.3,0,2.3,0
"17","Be","Winter","Dewey-Humboldt",34,0,0,0,NA,0
"18","Be","Winter","Globe/Miami",79,0,0,0,NA,0
"19","Be","Winter","Hayden/Winkelman",67,0,0,0,NA,0
"20","Be","Winter","Tucson",220,0,0,0,NA,0
"21","Be","Monsoon","Dewey-Humboldt",19,0,0,0,NA,0
"22","Be","Monsoon","Globe/Miami",45,0,2.2,0,NA,0
"23","Be","Monsoon","Hayden/Winkelman",26,0,0,0,NA,0
"24","Be","Monsoon","Tucson",87,0,0,0,NA,0
"25","Cd","Winter","Dewey-Humboldt",34,0,0,0,0,0
"26","Cd","Winter","Globe/Miami",79,2.5,8.9,0,0,0
"27","Cd","Winter","Hayden/Winkelman",67,0,0,0,0,0
"28","Cd","Winter","Tucson",220,0,0,0,0,0
"29","Cd","Monsoon","Dewey-Humboldt",19,0,0,0,0,0
"30","Cd","Monsoon","Globe/Miami",45,4.4,6.7,0,0,0
"31","Cd","Monsoon","Hayden/Winkelman",26,0,0,0,0,0
"32","Cd","Monsoon","Tucson",87,0,0,0,0,0
"33","Cr","Winter","Dewey-Humboldt",34,0,0,0,0,0
"34","Cr","Winter","Globe/Miami",79,0,0,0,0,0
"35","Cr","Winter","Hayden/Winkelman",67,0,0,0,0,0
"36","Cr","Winter","Tucson",220,0,0,0,0,0
"37","Cr","Monsoon","Dewey-Humboldt",19,0,0,0,0,0
"38","Cr","Monsoon","Globe/Miami",45,0,0,0,0,0
"39","Cr","Monsoon","Hayden/Winkelman",26,3.8,3.8,0,0,0
"40","Cr","Monsoon","Tucson",87,0,0,0,0,0
"41","Cu","Winter","Dewey-Humboldt",34,0,0,0,0,0
"42","Cu","Winter","Globe/Miami",79,7.6,1.3,1.3,3.8,1.3
"43","Cu","Winter","Hayden/Winkelman",67,9,1.5,1.5,3,1.5
"44","Cu","Winter","Tucson",220,2.7,0,0,1.4,0
"45","Cu","Monsoon","Dewey-Humboldt",19,0,0,0,0,0
"46","Cu","Monsoon","Globe/Miami",45,13,2.2,2.2,2.2,2.2
"47","Cu","Monsoon","Hayden/Winkelman",26,38,3.8,3.8,15,3.8
"48","Cu","Monsoon","Tucson",87,1.1,0,0,0,0
"49","Fe","Winter","Dewey-Humboldt",34,0,2.9,NA,2.9,NA
"50","Fe","Winter","Globe/Miami",79,0,1.3,NA,1.3,NA
"51","Fe","Winter","Hayden/Winkelman",67,0,4.5,NA,4.5,NA
"52","Fe","Winter","Tucson",220,0,1.8,NA,1.8,NA
"53","Fe","Monsoon","Dewey-Humboldt",19,0,5.3,NA,5.3,NA
"54","Fe","Monsoon","Globe/Miami",45,0,8.9,NA,8.9,NA
"55","Fe","Monsoon","Hayden/Winkelman",26,0,7.7,NA,7.7,NA
"56","Fe","Monsoon","Tucson",87,0,14,NA,14,NA
"57","Mn","Winter","Dewey-Humboldt",34,0,0,0,0,0
"58","Mn","Winter","Globe/Miami",79,5.1,13,0,13,0
"59","Mn","Winter","Hayden/Winkelman",67,0,0,0,0,0
"60","Mn","Winter","Tucson",220,0.45,3.2,0,3.2,0
"61","Mn","Monsoon","Dewey-Humboldt",19,5.3,21,0,21,0
"62","Mn","Monsoon","Globe/Miami",45,13,44,0,44,0
"63","Mn","Monsoon","Hayden/Winkelman",26,7.7,27,0,27,0
"64","Mn","Monsoon","Tucson",87,3.4,29,0,29,0
"65","Mo","Winter","Dewey-Humboldt",34,2.9,NA,NA,NA,NA
"66","Mo","Winter","Globe/Miami",79,0,NA,NA,NA,NA
"67","Mo","Winter","Hayden/Winkelman",67,3,NA,NA,NA,NA
"68","Mo","Winter","Tucson",220,2.3,NA,NA,NA,NA
"69","Mo","Monsoon","Dewey-Humboldt",19,5.3,NA,NA,NA,NA
"70","Mo","Monsoon","Globe/Miami",45,0,NA,NA,NA,NA
"71","Mo","Monsoon","Hayden/Winkelman",26,12,NA,NA,NA,NA
