"","analyte","score_bin","season","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","None","Winter",112,0.0018,1.15,0.02,0.0412,0.117,0.0176,3.06
"2","Ag","None","Monsoon",48,0.00158,0.927,0.017,0.0689,0.178,0.0231,3.43
"3","Ag","Medium","Winter",156,0.0018,1.11,0.014,0.045,0.124,0.0172,3.2
"4","Ag","Medium","Monsoon",67,0.0012,0.584,0.017,0.0345,0.0721,0.0194,2.63
"5","Ag","High","Winter",129,0.0018,0.192,0.014,0.0223,0.029,0.0137,2.6
"6","Ag","High","Monsoon",59,0.0015,0.725,0.017,0.0424,0.0998,0.0184,3.33
"7","Al","None","Winter",112,10.5,634,32.4,63.7,91.4,40.5,2.24
"8","Al","None","Monsoon",48,13,746,43.9,98.4,133,57.6,2.65
"9","Al","Medium","Winter",156,1.54,1500,32.7,71.5,162,37.3,2.61
"10","Al","Medium","Monsoon",67,12.9,1060,36.3,82.8,149,47.9,2.4
"11","Al","High","Winter",129,11,4760,35.7,144,591,44,2.72
"12","Al","High","Monsoon",59,10.3,5210,35.8,178,709,47.8,3.08
"13","As","None","Winter",112,0.139,22,1.1,1.97,2.86,1.19,2.57
"14","As","None","Monsoon",48,0.459,120,1.92,7.99,18.4,2.83,3.68
"15","As","Medium","Winter",156,0.16,11.6,0.75,1.27,1.59,0.826,2.37
"16","As","Medium","Monsoon",67,0.372,34.3,1.23,2.32,4.6,1.46,2.09
"17","As","High","Winter",129,0.108,9.8,0.794,1.17,1.41,0.788,2.33
"18","As","High","Monsoon",59,0.34,13.7,1.19,2.15,2.6,1.46,2.22
"19","Ba","None","Winter",112,0.314,126,8.34,14.5,20.6,8.58,2.84
"20","Ba","None","Monsoon",48,0.64,185,23.7,35.3,38.6,21.2,3.09
"21","Ba","Medium","Winter",156,0.119,61.3,8.81,11.5,10.6,7.29,3.12
"22","Ba","Medium","Monsoon",67,0.556,204,17.2,25.7,30.4,17.4,2.48
"23","Ba","High","Winter",129,0.606,74.3,8.23,12.2,11.8,8.36,2.48
"24","Ba","High","Monsoon",59,4.41,86.1,16.5,21,17.6,16.6,1.92
"25","Be","None","Winter",112,0.00063,1.4,0.04,0.0474,0.132,0.0255,2.84
"26","Be","None","Monsoon",48,0.00362,0.124,0.0308,0.0373,0.0307,0.027,2.31
"27","Be","Medium","Winter",156,0.00063,0.511,0.0317,0.0364,0.0614,0.0198,3.22
"28","Be","Medium","Monsoon",67,0.00456,0.593,0.016,0.0386,0.0764,0.0219,2.48
"29","Be","High","Winter",129,0.00133,1.69,0.0184,0.0657,0.222,0.0193,3.84
"30","Be","High","Monsoon",59,0.0017,1.36,0.0185,0.06,0.201,0.0212,2.89
"31","Cd","None","Winter",112,0.0071,3.8,0.071,0.225,0.448,0.0953,3.36
"32","Cd","None","Monsoon",48,0.011,4.65,0.132,0.522,0.886,0.152,5.37
"33","Cd","Medium","Winter",156,0.00528,11.7,0.063,0.311,1.36,0.0694,3.54
"34","Cd","Medium","Monsoon",67,0.011,10.1,0.0862,0.397,1.32,0.108,3.73
"35","Cd","High","Winter",129,0.007,8.01,0.0544,0.286,1.12,0.0697,3.25
"36","Cd","High","Monsoon",59,0.011,5.39,0.0782,0.293,0.922,0.0904,3.36
"37","Co","None","Winter",112,0.0059,1.58,0.0888,0.144,0.181,0.0949,2.48
"38","Co","None","Monsoon",48,0.023,2.95,0.31,0.504,0.608,0.277,3.24
"39","Co","Medium","Winter",156,0.0045,7.89,0.0689,0.232,0.747,0.0833,3.12
"40","Co","Medium","Monsoon",67,0.0385,5.04,0.184,0.495,0.833,0.242,3
"41","Co","High","Winter",129,0.0045,11.2,0.0778,0.385,1.46,0.101,3.38
"42","Co","High","Monsoon",59,0.0366,7.9,0.197,0.678,1.42,0.282,3.34
"43","Cr","None","Winter",112,0.056,9.18,0.307,0.723,1.38,0.35,2.88
"44","Cr","None","Monsoon",48,0.106,171,0.73,4.78,24.7,0.727,3.36
"45","Cr","Medium","Winter",156,0.011,13.6,0.241,0.543,1.38,0.251,2.92
"46","Cr","Medium","Monsoon",67,0.071,2.87,0.424,0.555,0.455,0.437,1.99
"47","Cr","High","Winter",129,0.011,86,0.311,1.32,7.63,0.347,3.36
"48","Cr","High","Monsoon",59,0.112,52.4,0.532,3.22,8.86,0.822,3.79
"49","Cu","None","Winter",112,0.921,906,28,59.6,104,25.5,3.98
"50","Cu","None","Monsoon",48,1.09,658,34.5,107,155,38.3,4.88
"51","Cu","Medium","Winter",156,0.237,3160,19.5,75.8,300,18.2,4.5
