"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.625860536606606,0.551687872077133,276.554337313831,-1.1344467918974,0.257589523878933
"seasonMonsoon",0.747462160867578,0.0955532889086042,323.393015588727,7.82246398219237,7.40860846052145e-14
"pH",0.37550536304669,0.0690988797042987,368.825575096824,5.4343191185389,1.00163295214601e-07
"communityGlobe/Miami",0.646093755906167,0.272804329559603,108.947874947647,2.36834128310638,0.0196301788496855
"communityHayden/Winkelman",0.896949628680766,0.265103573016336,101.314051964514,3.38339320920995,0.00101903822811789
"communityTucson",0.58485399355516,0.255218036367768,115.873161579997,2.29158566486417,0.0237360744454254
"Q91950-1959",-0.216035475241958,0.286969933288203,91.4684461898632,-0.752815714059474,0.453493835195262
"Q91960-1969",0.614738036163146,0.342280991042389,101.754719913487,1.79600402082222,0.0754615821923177
"Q91970-1979",-0.346096520267539,0.291016369860881,94.2460582029348,-1.18926822031691,0.237321801018222
"Q91980-1989",0.113960005866339,0.317313109543266,88.5946470472221,0.359140553727424,0.720344477055767
"Q91990-1999",-0.157027836337265,0.343006525724375,87.1088013546415,-0.457798393210296,0.648237187498545
"Q92000-2009",-0.23949016075595,0.358700631827266,102.787809258336,-0.667660270170021,0.505846769793691
"Q92010-2018",-0.652441719101918,0.41872529958645,99.0686482267987,-1.55816168678199,0.122383863630955
"Q9Pre 1940",0.180114278752318,0.30151718432843,94.8272399514159,0.597359912183736,0.551690881071183
