"","analyte","BIPOC","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","Other",4,0.0054,0.0374,0.0195,0.0205,0.0162,0.0149,2.65
"2","Ag","Person of color",205,0.0012,1.11,0.017,0.0409,0.117,0.0161,3.14
"3","Ag","White",187,0.0015,0.725,0.017,0.0303,0.0629,0.0163,2.76
"4","Ag",NA,14,0.00316,0.0646,0.011,0.0157,0.015,0.012,2.06
"5","Al","Other",4,15.7,111,44,53.6,40.4,42.8,2.22
"6","Al","Person of color",205,1.54,943,36.3,64,93.8,40.2,2.43
"7","Al","White",187,7.94,1850,34.6,76.8,191,41.3,2.4
"8","Al",NA,14,14.8,55,31,31,11.4,29,1.47
"9","As","Other",4,0.529,2.8,1,1.33,1.01,1.1,2
"10","As","Person of color",205,0.139,40.3,1.1,2.73,4.53,1.39,2.94
"11","As","White",187,0.108,7.42,0.876,1.08,1.03,0.793,2.18
"12","As",NA,14,0.332,3.44,1.27,1.52,1.02,1.21,2.1
"13","Ba","Other",4,1.12,16.2,2.79,5.74,7.08,3.39,3.14
"14","Ba","Person of color",205,0.119,185,12.1,19.3,23.4,11.4,3.14
"15","Ba","White",187,0.161,138,9.11,13.3,15.3,8.45,2.77
"16","Ba",NA,14,1.94,34,20,19.8,9.5,16.2,2.25
"17","Be","Other",4,0.0019,0.0485,0.029,0.0271,0.0212,0.016,4.42
"18","Be","Person of color",205,0.00063,1.4,0.021,0.0399,0.106,0.0208,2.98
"19","Be","White",187,0.00133,0.795,0.019,0.039,0.0823,0.0197,3.08
"20","Be",NA,14,0.0042,0.064,0.0181,0.0232,0.0176,0.017,2.39
"21","Cd","Other",4,0.0192,0.429,0.0359,0.13,0.2,0.0566,4.01
"22","Cd","Person of color",205,0.00528,2.64,0.0881,0.22,0.371,0.102,3.28
"23","Cd","White",187,0.0061,11.7,0.0604,0.378,1.51,0.0725,3.81
"24","Cd",NA,14,0.011,0.128,0.0372,0.0394,0.0273,0.034,1.71
"25","Co","Other",4,0.0665,1.21,0.163,0.402,0.545,0.211,3.51
"26","Co","Person of color",205,0.0045,2.42,0.107,0.231,0.372,0.119,2.93
"27","Co","White",187,0.0045,7.9,0.107,0.382,0.969,0.126,3.91
"28","Co",NA,14,0.0369,0.388,0.0697,0.126,0.118,0.0928,2.1
"29","Cr","Other",4,0.085,0.476,0.147,0.214,0.178,0.171,2.08
"30","Cr","Person of color",205,0.011,28.7,0.343,0.816,2.37,0.374,2.84
"31","Cr","White",187,0.011,86,0.3,1.67,7.85,0.354,3.69
"32","Cr",NA,14,0.055,1.25,0.257,0.448,0.375,0.305,2.66
"33","Cu","Other",4,24,133,36.6,57.5,50.7,45.2,2.12
"34","Cu","Person of color",205,0.237,658,28.5,54.2,83.6,27.1,3.49
"35","Cu","White",187,0.238,3160,13.6,80.4,338,15.5,4.39
"36","Cu",NA,14,4.12,33.1,11.5,12.5,6.82,11.2,1.61
"37","Fe","Other",4,11.1,249,22.3,76.1,115,34,3.94
"38","Fe","Person of color",205,2.5,889,38,65.2,100,38.8,2.61
"39","Fe","White",187,4.2,1640,40.4,90.7,197,42.8,2.96
"40","Fe",NA,14,4.39,55.1,23.6,26.1,14.4,21.7,2.02
"41","Mn","Other",4,3.5,100,13,32.4,45.4,15.2,4.13
