"","analyte","Education_grouped","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","College Degree",97,0.0015,0.584,0.017,0.0333,0.0699,0.0165,2.93
"2","Ag","High/Secondary",55,0.0015,0.927,0.014,0.0323,0.123,0.0127,2.72
"3","Ag","NA",13,0.00844,0.341,0.017,0.049,0.0906,0.0231,2.91
"4","Ag","Post-Graduate Degree",30,0.00368,0.725,0.017,0.0546,0.133,0.0208,3.27
"5","Ag","Primary - Junior High",32,0.0018,1.11,0.0147,0.0662,0.197,0.0176,3.99
"6","Ag","Some College",76,0.0015,0.207,0.0151,0.0255,0.0333,0.0162,2.47
"7","Ag","Trade/Technical",23,0.0012,0.158,0.014,0.0228,0.0329,0.0123,3.18
"8","Al","College Degree",97,7.94,1060,35.7,66,119,40.3,2.38
"9","Al","High/Secondary",55,1.54,1500,36.3,93.1,211,42.3,3.05
"10","Al","NA",13,15.7,48.2,28.7,28.4,9.4,27,1.4
"11","Al","Post-Graduate Degree",30,14.6,199,24.7,43.5,39.7,33.2,2
"12","Al","Primary - Junior High",32,10.9,943,37.3,85.7,169,44.2,2.64
"13","Al","Some College",76,13,359,33,57,61.9,40.6,2.14
"14","Al","Trade/Technical",23,12.9,142,34.6,53.8,39.7,42.2,2.03
"15","As","College Degree",97,0.154,14.4,0.92,1.38,1.93,0.907,2.32
"16","As","High/Secondary",55,0.18,13.7,1.29,2.58,3.34,1.38,3.02
"17","As","NA",13,0.28,5.14,0.92,1.27,1.26,0.951,2.09
"18","As","Post-Graduate Degree",30,0.108,5.42,0.823,1.26,1.34,0.817,2.6
"19","As","Primary - Junior High",32,0.139,14.8,1.03,2.48,3.75,1.21,3.11
"20","As","Some College",76,0.16,40.3,1.06,2.88,5.88,1.29,3.06
"21","As","Trade/Technical",23,0.28,14.1,0.99,2.11,3.81,0.974,2.95
"22","Ba","College Degree",97,0.161,80.7,10.2,13.9,12.9,9.17,2.87
"23","Ba","High/Secondary",55,0.119,86.1,16.4,20.5,19.6,11.3,4.17
"24","Ba","NA",13,3.71,36.9,8.76,11.9,9.16,9.63,1.91
"25","Ba","Post-Graduate Degree",30,1.93,74.4,9.24,14.8,15.4,10.1,2.38
"26","Ba","Primary - Junior High",32,0.703,98.4,11.4,20.3,21.9,12,3.08
"27","Ba","Some College",76,0.412,185,11.6,20.1,30.5,10.5,3.17
"28","Ba","Trade/Technical",23,1.2,38,9.41,11.9,9.28,8.66,2.38
"29","Be","College Degree",97,0.00063,1.4,0.0242,0.0514,0.154,0.0206,3.45
"30","Be","High/Secondary",55,0.0019,0.505,0.0186,0.0381,0.0684,0.0208,2.98
"31","Be","NA",13,0.0025,0.042,0.0159,0.0198,0.0155,0.0137,2.64
"32","Be","Post-Graduate Degree",30,0.0017,0.136,0.013,0.0222,0.0273,0.0122,3.16
"33","Be","Primary - Junior High",32,0.00063,0.511,0.0197,0.0435,0.0891,0.0216,3.14
