"","analyte","Race Ethnicity","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","Asian, Asian-American",19,0.0018,0.584,0.014,0.0493,0.131,0.0147,3.98
"2","Ag","Hispanic or Latino",173,0.0012,1.11,0.017,0.0415,0.12,0.0162,3.15
"3","Ag","Multiple",13,0.00435,0.0666,0.02,0.0219,0.016,0.0174,2.09
"4","Ag","Other",4,0.0054,0.0374,0.0195,0.0205,0.0162,0.0149,2.65
"5","Ag","White, Caucasian, European American",187,0.0015,0.725,0.017,0.0303,0.0629,0.0163,2.76
"6","Ag",NA,14,0.00316,0.0646,0.011,0.0157,0.015,0.012,2.06
"7","Al","Asian, Asian-American",19,7.95,448,31.2,66.5,102,36.6,2.77
"8","Al","Hispanic or Latino",173,1.54,943,36.3,64,95.9,40.1,2.43
"9","Al","Multiple",13,18.1,142,44.8,60.4,43.8,47.3,2.08
"10","Al","Other",4,15.7,111,44,53.6,40.4,42.8,2.22
"11","Al","White, Caucasian, European American",187,7.94,1850,34.6,76.8,191,41.3,2.4
"12","Al",NA,14,14.8,55,31,31,11.4,29,1.47
"13","As","Asian, Asian-American",19,0.627,3.81,1.1,1.31,0.787,1.16,1.63
"14","As","Hispanic or Latino",173,0.139,40.3,1.19,2.89,4.72,1.45,3.04
"15","As","Multiple",13,0.28,14.1,0.741,2.71,4.98,0.987,3.53
"16","As","Other",4,0.529,2.8,1,1.33,1.01,1.1,2
"17","As","White, Caucasian, European American",187,0.108,7.42,0.876,1.08,1.03,0.793,2.18
"18","As",NA,14,0.332,3.44,1.27,1.52,1.02,1.21,2.1
"19","Ba","Asian, Asian-American",19,4.08,43,10.1,14.1,11.8,10.8,2.05
"20","Ba","Hispanic or Latino",173,0.119,185,13.5,20.6,24.9,11.8,3.34
"21","Ba","Multiple",13,2.53,23.7,9.41,9.46,6.11,7.72,1.98
"22","Ba","Other",4,1.12,16.2,2.79,5.74,7.08,3.39,3.14
"23","Ba","White, Caucasian, European American",187,0.161,138,9.11,13.3,15.3,8.45,2.77
"24","Ba",NA,14,1.94,34,20,19.8,9.5,16.2,2.25
"25","Be","Asian, Asian-American",19,0.00063,0.182,0.018,0.0333,0.0408,0.0171,4.19
"26","Be","Hispanic or Latino",173,0.00063,1.4,0.021,0.0414,0.114,0.0211,2.92
"27","Be","Multiple",13,0.0042,0.0707,0.018,0.0296,0.021,0.0226,2.25
"28","Be","Other",4,0.0019,0.0485,0.029,0.0271,0.0212,0.016,4.42
"29","Be","White, Caucasian, European American",187,0.00133,0.795,0.019,0.039,0.0823,0.0197,3.08
"30","Be",NA,14,0.0042,0.064,0.0181,0.0232,0.0176,0.017,2.39
"31","Cd","Asian, Asian-American",19,0.0467,0.736,0.113,0.21,0.19,0.145,2.42
"32","Cd","Hispanic or Latino",173,0.00528,2.64,0.0881,0.234,0.396,0.105,3.35
"33","Cd","Multiple",13,0.011,0.155,0.0337,0.0555,0.0484,0.0398,2.32
"34","Cd","Other",4,0.0192,0.429,0.0359,0.13,0.2,0.0566,4.01
"35","Cd","White, Caucasian, European American",187,0.0061,11.7,0.0604,0.378,1.51,0.0725,3.81
"36","Cd",NA,14,0.011,0.128,0.0372,0.0394,0.0273,0.034,1.71
"37","Co","Asian, Asian-American",19,0.031,1.95,0.0747,0.219,0.432,0.108,2.77
"38","Co","Hispanic or Latino",173,0.0045,2.42,0.107,0.237,0.377,0.12,3.01
"39","Co","Multiple",13,0.0378,0.565,0.12,0.176,0.164,0.129,2.17
"40","Co","Other",4,0.0665,1.21,0.163,0.402,0.545,0.211,3.51
"41","Co","White, Caucasian, European American",187,0.0045,7.9,0.107,0.382,0.969,0.126,3.91
"42","Co",NA,14,0.0369,0.388,0.0697,0.126,0.118,0.0928,2.1
"43","Cr","Asian, Asian-American",19,0.056,1.26,0.318,0.433,0.328,0.342,2.06
"44","Cr","Hispanic or Latino",173,0.011,28.7,0.349,0.83,2.52,0.37,2.86
"45","Cr","Multiple",13,0.085,7.03,0.343,1.19,1.94,0.489,3.85
"46","Cr","Other",4,0.085,0.476,0.147,0.214,0.178,0.171,2.08
"47","Cr","White, Caucasian, European American",187,0.011,86,0.3,1.67,7.85,0.354,3.69
"48","Cr",NA,14,0.055,1.25,0.257,0.448,0.375,0.305,2.66
"49","Cu","Asian, Asian-American",19,4.77,139,30.5,36.8,38.8,23,2.75
"50","Cu","Hispanic or Latino",173,0.237,658,28.7,58.7,89.2,29,3.6
"51","Cu","Multiple",13,2.64,82,11.5,20.5,21.6,13.6,2.55
"52","Cu","Other",4,24,133,36.6,57.5,50.7,45.2,2.12
"53","Cu","White, Caucasian, European American",187,0.238,3160,13.6,80.4,338,15.5,4.39
"54","Cu",NA,14,4.12,33.1,11.5,12.5,6.82,11.2,1.61
"55","Fe","Asian, Asian-American",19,6.22,228,38.2,53.5,53.9,36.9,2.42
"56","Fe","Hispanic or Latino",173,2.5,889,36.8,67.2,107,38.4,2.69
"57","Fe","Multiple",13,21.3,153,50.9,56.6,37.1,48.1,1.78
"58","Fe","Other",4,11.1,249,22.3,76.1,115,34,3.94
"59","Fe","White, Caucasian, European American",187,4.2,1640,40.4,90.7,197,42.8,2.96
"60","Fe",NA,14,4.39,55.1,23.6,26.1,14.4,21.7,2.02
"61","Mn","Asian, Asian-American",19,1.03,152,5.74,17.6,34.9,5.85,4.31
"62","Mn","Hispanic or Latino",173,0.154,378,4.69,18.6,41,5.45,4.9
"63","Mn","Multiple",13,0.746,75.6,4.66,16.3,22.2,7.63,3.65
"64","Mn","Other",4,3.5,100,13,32.4,45.4,15.2,4.13
"65","Mn","White, Caucasian, European American",187,0.0668,612,5.05,31.6,78,6.31,6.08
"66","Mn",NA,14,0.292,4.2,1.2,1.73,1.43,1.21,2.5
"67","Mo","Asian, Asian-American",19,0.174,3.62,1.06,1.19,1,0.823,2.52
"68","Mo","Hispanic or Latino",173,0.0078,25.6,2.13,2.96,3.49,1.81,3.01
"69","Mo","Multiple",13,0.0579,4.84,1.8,1.74,1.43,0.992,3.93
"70","Mo","Other",4,0.0789,0.176,0.0879,0.108,0.0463,0.102,1.46
"71","Mo","White, Caucasian, European American",187,0.016,11.7,0.681,1.27,1.65,0.67,3.29
"72","Mo",NA,14,2.04,7.36,4.2,4.55,1.74,4.23,1.5
"73","Ni","Asian, Asian-American",19,0.13,3.21,0.574,0.989,0.886,0.688,2.42
"74","Ni","Hispanic or Latino",173,0.0681,13.3,0.677,1.22,1.78,0.759,2.44
"75","Ni","Multiple",13,0.35,3.45,0.934,1.46,1.03,1.13,2.14
"76","Ni","Other",4,0.268,3.04,0.466,1.06,1.33,0.643,2.93
"77","Ni","White, Caucasian, European American",187,0.0571,466,0.695,5.95,38.1,0.88,3.68
"78","Ni",NA,14,0.195,2.39,0.506,0.767,0.596,0.617,1.93
"79","Pb","Asian, Asian-American",19,0.135,12.2,0.373,1.34,2.75,0.549,3.31
"80","Pb","Hispanic or Latino",173,0.0319,23.6,0.676,1.9,3.69,0.732,3.83
"81","Pb","Multiple",13,0.0992,20.8,0.354,2.5,5.64,0.613,4.96
"82","Pb","Other",4,0.846,3.18,2.6,2.31,1.05,2.06,1.84
"83","Pb","White, Caucasian, European American",187,0.0142,350,0.476,3.76,26.3,0.539,4.43
"84","Pb",NA,14,0.0712,1.45,0.337,0.451,0.403,0.317,2.42
"85","Sb","Asian, Asian-American",19,0.274,1.5,0.59,0.647,0.304,0.588,1.56
"86","Sb","Hispanic or Latino",173,0.11,8.16,0.641,0.874,0.97,0.651,2.03
"87","Sb","Multiple",13,0.208,1.24,0.477,0.55,0.3,0.48,1.74
"88","Sb","Other",4,0.487,0.747,0.588,0.603,0.111,0.595,1.2
"89","Sb","White, Caucasian, European American",187,0.106,9.15,0.508,0.704,0.922,0.5,2.11
"90","Sb",NA,14,0.302,2.69,0.595,0.739,0.611,0.605,1.83
"91","Se","Asian, Asian-American",19,0.26,6.39,1.6,1.86,1.59,1.29,2.51
"92","Se","Hispanic or Latino",173,0.16,11.6,1.6,1.93,1.71,1.35,2.46
"93","Se","Multiple",13,0.46,5.34,1.1,1.68,1.32,1.35,1.93
"94","Se","Other",4,0.606,1.6,0.855,0.979,0.435,0.916,1.51
"95","Se","White, Caucasian, European American",187,0.16,11.7,1.3,1.87,1.71,1.25,2.61
"96","Se",NA,14,0.277,4.97,1.95,2.09,1.42,1.51,2.57
"97","Sn","Asian, Asian-American",19,0.017,0.261,0.0734,0.0938,0.0637,0.076,1.98
"98","Sn","Hispanic or Latino",173,0.00196,6.02,0.0951,0.257,0.652,0.0933,3.75
"99","Sn","Multiple",13,0.011,0.267,0.0729,0.105,0.0842,0.075,2.52
"100","Sn","Other",4,0.03,0.123,0.0716,0.0741,0.043,0.064,1.91
"101","Sn","White, Caucasian, European American",187,0.011,80.7,0.0789,0.767,6.05,0.0949,3.87
"102","Sn",NA,14,0.0217,1,0.277,0.328,0.301,0.186,3.52
"103","V","Asian, Asian-American",19,0.301,6.59,1.76,2.17,1.89,1.54,2.41
"104","V","Hispanic or Latino",173,0.173,29,1.82,3.09,4.1,1.97,2.45
"105","V","Multiple",13,0.44,9.54,2.23,3.04,2.91,2.09,2.5
"106","V","Other",4,0.59,2.19,1.01,1.2,0.756,1.03,1.89
"107","V","White, Caucasian, European American",187,0.145,13.2,1.4,2.06,2.05,1.41,2.4
"108","V",NA,14,0.989,6.08,2.2,3.01,1.84,2.51,1.87
"109","Zn","Asian, Asian-American",19,32.1,7630,494,1720,2560,423,6.71
"110","Zn","Hispanic or Latino",173,2.4,1280,63,145,231,68.1,3.37
"111","Zn","Multiple",13,31.2,391,146,194,155,131,2.68
"112","Zn","Other",4,303,3640,622,1300,1570,807,2.88
"113","Zn","White, Caucasian, European American",187,1.4,12700,96.3,362,1150,93.9,4.52
"114","Zn",NA,14,7.26,107,23.7,34.8,29,25.9,2.23
"115","pli","Asian, Asian-American",19,0.913,10.7,1.6,2.55,2.25,2.05,1.86
"116","pli","Hispanic or Latino",173,0.118,13.4,1.87,2.53,2.24,1.88,2.21
"117","pli","Multiple",13,0.706,4.27,1.67,1.98,1.1,1.75,1.66
"118","pli","Other",4,1.17,7.88,1.59,3.06,3.22,2.2,2.38
"119","pli","White, Caucasian, European American",187,0.148,24.6,1.46,2.45,3.16,1.61,2.35
"120","pli",NA,14,0.436,1.88,1.14,1.15,0.419,1.07,1.51
