"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","85135",22,0.00275,0.121,0.0165,0.0277,0.0353,0.0152,2.99
"2","Ag","85192",51,0.0018,0.48,0.017,0.0498,0.0911,0.0194,3.83
"3","Ag","85286",2,0.0099,0.0116,0.0107,0.0107,0.00117,0.0107,1.12
"4","Ag","85501",83,0.0015,0.156,0.017,0.0257,0.0256,0.017,2.56
"5","Ag","85502",17,0.0018,0.136,0.017,0.0318,0.0379,0.0189,2.9
"6","Ag","85539",5,0.00265,0.0254,0.02,0.0143,0.0108,0.00949,3.17
"7","Ag","85705",7,0.00307,0.192,0.02,0.0493,0.0664,0.0229,4.05
"8","Ag","85706",26,0.0039,1.11,0.0156,0.0593,0.214,0.0161,2.92
"9","Ag","85711",27,0.0015,0.088,0.015,0.0213,0.0212,0.0142,2.57
"10","Ag","85712",3,0.00843,0.0362,0.017,0.0205,0.0142,0.0173,2.07
"11","Ag","85713",19,0.00508,0.927,0.014,0.0776,0.21,0.0212,3.77
"12","Ag","85714",30,0.00199,0.0787,0.0118,0.0172,0.0175,0.0127,2.17
"13","Ag","85716",6,0.0125,0.0895,0.0423,0.0441,0.0318,0.0337,2.33
"14","Ag","85718",4,0.00518,0.0266,0.0134,0.0147,0.00934,0.0123,2.03
"15","Ag","85719",14,0.0012,0.122,0.0114,0.0275,0.0359,0.0114,4.37
"16","Ag","85745",15,0.0015,0.725,0.0101,0.103,0.227,0.0151,6.73
"17","Ag","85746",9,0.0038,0.0295,0.011,0.0144,0.00966,0.0112,2.22
"18","Ag","85748",6,0.00267,0.029,0.0125,0.0139,0.0088,0.0112,2.23
"19","Ag","85749",8,0.00475,0.024,0.0174,0.0162,0.00584,0.0148,1.66
"20","Ag","85750",1,0.017,0.017,0.017,0.017,NA,0.017,NA
"21","Ag","85756",11,0.00525,0.0308,0.014,0.0146,0.00676,0.0133,1.58
"22","Ag","86314",4,0.00316,0.0646,0.0162,0.025,0.0272,0.0151,3.45
"23","Ag","86327",33,0.0026,0.0703,0.014,0.0179,0.0122,0.0151,1.81
"24","Ag","86333",5,0.00291,0.341,0.0167,0.0857,0.145,0.0216,7.1
"25","Ag",NA,2,0.0168,0.0226,0.0197,0.0197,0.00408,0.0195,1.23
"26","Al","85135",22,19.9,388,42.3,87.4,108,55.9,2.36
"27","Al","85192",51,3.82,248,30.5,49.4,50.4,34.9,2.27
"28","Al","85286",2,49.9,52.9,51.4,51.4,2.08,51.4,1.04
"29","Al","85501",83,13,1850,46.7,121,261,61.2,2.64
"30","Al","85502",17,16,1060,49.7,104,247,47.4,2.58
"31","Al","85539",5,102,214,114,136,46.5,131,1.36
"32","Al","85705",7,14.7,211,43.9,63.3,67.8,44.2,2.38
"33","Al","85706",26,9.28,943,27.1,68.7,180,32,2.53
"34","Al","85711",27,7.94,163,34.4,45,32.4,36.9,1.89
"35","Al","85712",3,20.8,66.3,24.2,37.1,25.4,32.2,1.88
"36","Al","85713",19,12.4,276,27.2,58.5,64.9,39,2.38
"37","Al","85714",30,10.9,405,36.1,64.6,86.8,40.8,2.36
"38","Al","85716",6,15.5,125,54.3,57.5,37.9,47.4,2.04
"39","Al","85718",4,14.8,95.1,21.3,38.1,38.2,28,2.32
"40","Al","85719",14,12.9,90.9,29.3,39,24.9,31.9,1.94
"41","Al","85745",15,7.95,199,36.4,50.3,51.1,32.4,2.67
"42","Al","85746",9,14.8,70.1,24.9,29.3,17.1,26.2,1.6
"43","Al","85748",6,15.6,70.4,26,31.8,20.1,27.8,1.72
"44","Al","85749",8,15.9,75.2,22.4,31.3,20.5,27.1,1.71
"45","Al","85750",1,19.2,19.2,19.2,19.2,NA,19.2,NA
"46","Al","85756",11,1.54,55,29.7,30.9,14.1,24.6,2.62
"47","Al","86314",4,16.4,36.6,22.4,24.5,9.44,23.2,1.46
"48","Al","86327",33,11,142,24,38.6,34.6,29.7,1.96
"49","Al","86333",5,26.3,78,29,39.3,21.9,35.8,1.56
"50","Al",NA,2,38.9,44.3,41.6,41.6,3.81,41.5,1.1
"51","As","85135",22,1.12,40.3,4.34,8.04,9.4,5.11,2.5
"52","As","85192",51,0.139,14.8,1.96,3.39,3.63,2.13,2.71
"53","As","85286",2,1.94,2.49,2.22,2.22,0.393,2.2,1.2
"54","As","85501",83,0.16,7.42,0.911,1.08,1.01,0.814,2.08
"55","As","85502",17,0.16,3.81,0.92,0.952,0.852,0.707,2.23
"56","As","85539",5,0.41,2.73,1.27,1.48,0.905,1.23,2.08
"57","As","85705",7,0.16,4.63,0.841,1.34,1.52,0.844,2.87
"58","As","85706",26,0.18,13.7,1,2.8,4.12,1.16,3.69
"59","As","85711",27,0.28,2.3,0.714,0.848,0.473,0.748,1.64
"60","As","85712",3,0.362,0.986,0.543,0.63,0.321,0.578,1.66
"61","As","85713",19,0.324,4.02,1.1,1.36,0.989,1.04,2.15
"62","As","85714",30,0.28,2.19,1.01,1.07,0.556,0.928,1.75
"63","As","85716",6,0.801,5.42,1.42,2.1,1.76,1.65,2.06
"64","As","85718",4,0.108,1.15,0.426,0.528,0.458,0.376,2.75
"65","As","85719",14,0.372,4.42,0.903,1.23,1.16,0.927,2.07
"66","As","85745",15,0.34,4.25,0.702,1,0.978,0.78,1.91
"67","As","85746",9,0.28,1.1,0.754,0.71,0.296,0.644,1.65
"68","As","85748",6,0.264,2.43,0.714,0.994,0.869,0.699,2.56
"69","As","85749",8,0.211,2.73,0.675,0.894,0.839,0.634,2.41
"70","As","85750",1,1.14,1.14,1.14,1.14,NA,1.14,NA
"71","As","85756",11,0.28,3.23,1.15,1.29,1.03,0.936,2.38
