"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","None","Dewey-Humboldt",28,0.0026,0.341,0.017,0.0323,0.0624,0.0187,2.44
"2","Ag","None","Globe/Miami",20,0.00265,0.0736,0.0155,0.0191,0.0164,0.014,2.34
"3","Ag","None","Hayden/Winkelman",51,0.0018,0.818,0.02,0.0616,0.128,0.0214,4.11
"4","Ag","None","Tucson",61,0.00158,1.15,0.02,0.0574,0.185,0.0194,3.06
"5","Ag","Medium","Dewey-Humboldt",11,0.0099,0.02,0.014,0.0155,0.00355,0.0151,1.27
"6","Ag","Medium","Globe/Miami",59,0.0018,0.873,0.0187,0.0462,0.114,0.0225,2.88
"7","Ag","Medium","Hayden/Winkelman",32,0.0018,0.48,0.016,0.0384,0.0842,0.0169,3.28
"8","Ag","Medium","Tucson",121,0.0012,1.11,0.0167,0.043,0.121,0.0164,3.15
"9","Ag","High","Dewey-Humboldt",14,0.00291,0.0703,0.0155,0.0227,0.0214,0.0149,2.65
"10","Ag","High","Globe/Miami",44,0.0015,0.156,0.0163,0.0247,0.0291,0.0143,3.03
"11","Ag","High","Hayden/Winkelman",5,0.0055,0.0322,0.017,0.018,0.0098,0.0155,1.93
"12","Ag","High","Tucson",125,0.0015,0.725,0.0168,0.031,0.0728,0.0152,2.87
"13","Al","None","Dewey-Humboldt",28,14.4,634,27.9,82,139,40.5,2.8
"14","Al","None","Globe/Miami",20,13,243,49.2,77.5,64.4,57.1,2.23
"15","Al","None","Hayden/Winkelman",51,14.9,746,44.6,87.2,126,52.1,2.47
"16","Al","None","Tucson",61,10.5,370,33.5,58.4,79,38.8,2.16
"17","Al","Medium","Dewey-Humboldt",11,16,78,21.6,28.4,17.7,25.3,1.58
"18","Al","Medium","Globe/Miami",59,16,1500,52.3,133,259,64.7,2.71
"19","Al","Medium","Hayden/Winkelman",32,3.82,511,38.8,60.4,91.6,36.1,2.63
"20","Al","Medium","Tucson",121,1.54,943,30.8,54.7,96,34.2,2.36
"21","Al","High","Dewey-Humboldt",14,11,195,31.8,53,50.6,38.2,2.23
