"","analyte","score_bin","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","None",160,0.00158,1.15,0.0186,0.0495,0.138,0.0191,3.18
"2","Ag","Medium",223,0.0012,1.11,0.017,0.0418,0.111,0.0178,3.02
"3","Ag","High",188,0.0015,0.725,0.0167,0.0286,0.0613,0.015,2.85
"4","Al","None",160,10.5,746,35.6,74.1,106,45.1,2.39
"5","Al","Medium",223,1.54,1500,34.6,74.9,158,40.2,2.56
"6","Al","High",188,10.3,5210,35.7,155,629,45.2,2.83
"7","As","None",160,0.139,120,1.12,3.77,10.6,1.54,3.1
"8","As","Medium",223,0.16,34.3,0.983,1.58,2.88,0.981,2.38
"9","As","High",188,0.108,13.7,0.969,1.48,1.92,0.956,2.41
"10","Ba","None",160,0.314,185,10.1,20.8,28.8,11.3,3.14
"11","Ba","Medium",223,0.119,204,11,15.8,19.9,9.46,3.14
"12","Ba","High",188,0.606,86.1,10.5,15,14.5,10.4,2.45
"13","Be","None",160,0.00063,1.4,0.0379,0.0444,0.112,0.0259,2.67
"14","Be","Medium",223,0.00063,0.593,0.0209,0.0371,0.0661,0.0204,2.99
"15","Be","High",188,0.00133,1.69,0.0185,0.0639,0.215,0.0199,3.53
"16","Cd","None",160,0.0071,4.65,0.0823,0.314,0.625,0.11,3.97
"17","Cd","Medium",223,0.00528,11.7,0.0713,0.337,1.35,0.0793,3.64
"18","Cd","High",188,0.007,8.01,0.0602,0.289,1.06,0.0756,3.29
"19","Co","None",160,0.0059,2.95,0.118,0.252,0.399,0.131,3.03
"20","Co","Medium",223,0.0045,7.89,0.0916,0.311,0.781,0.115,3.41
"21","Co","High",188,0.0045,11.2,0.111,0.477,1.45,0.139,3.68
"22","Cr","None",160,0.056,171,0.399,1.94,13.6,0.436,3.17
"23","Cr","Medium",223,0.011,13.6,0.3,0.546,1.18,0.297,2.73
"24","Cr","High",188,0.011,86,0.37,1.92,8.06,0.454,3.71
"25","Cu","None",160,0.921,906,28.8,73.8,123,28.8,4.27
"26","Cu","Medium",223,0.237,3160,20.3,82.6,315,20.8,4.24
"27","Cu","High",188,0.224,685,16.6,41.2,76.3,19.3,3.34
"28","Fe","None",160,1.7,1600,37.4,85.8,174,42.2,2.89
"29","Fe","Medium",223,3.13,889,35.5,62.1,104,37.3,2.5
"30","Fe","High",188,1.7,1640,38,88.7,168,42.3,3.12
"31","Mn","None",160,0.149,368,5.49,21.1,46.1,6.38,4.7
"32","Mn","Medium",223,0.0668,612,4.2,26.5,72.4,5.49,5.56
"33","Mn","High",188,0.0787,334,4.97,26.2,55.6,5.99,5.65
"34","Mo","None",160,0.0258,17.9,1.55,2.32,2.75,1.23,3.61
"35","Mo","Medium",223,0.0078,13.9,1.66,2.15,2.14,1.19,3.57
"36","Mo","High",188,0.016,37.9,1.45,2.79,4.55,1.35,3.42
"37","Ni","None",160,0.0841,221,0.64,2.52,17.5,0.754,2.66
"38","Ni","Medium",223,0.0611,466,0.654,3.7,31.5,0.801,2.93
"39","Ni","High",188,0.0571,59.7,0.804,2.38,5.65,0.976,3.18
"40","Pb","None",160,0.0142,264,0.905,4.16,21.4,0.919,4.4
"41","Pb","Medium",223,0.013,22.2,0.518,1.78,3.63,0.609,4.05
"42","Pb","High",188,0.0263,350,0.538,3.99,26.2,0.645,4.37
"43","Sb","None",160,0.12,13.4,0.645,1.03,1.62,0.684,2.17
"44","Sb","Medium",223,0.11,9.15,0.571,0.83,1.04,0.603,2.05
"45","Sb","High",188,0.106,5.35,0.543,0.719,0.7,0.55,1.99
"46","Se","None",160,0.16,11.7,1.6,2.05,1.66,1.62,1.96
"47","Se","Medium",223,0.16,11.6,1.3,1.79,1.59,1.27,2.35
"48","Se","High",188,0.16,12.6,1.6,2.03,1.92,1.32,2.72
"49","Sn","None",160,0.00828,2.47,0.0778,0.152,0.25,0.0797,3
"50","Sn","Medium",223,0.00196,80.7,0.1,0.69,5.56,0.101,3.77
"51","Sn","High",188,0.00092,6.02,0.0909,0.271,0.632,0.103,3.58
"52","V","None",160,0.145,17.5,1.4,2.33,2.38,1.64,2.27
"53","V","Medium",223,0.276,18.3,1.71,2.5,2.34,1.77,2.3
"54","V","High",188,0.176,29,1.76,2.84,3.75,1.81,2.51
"55","Zn","None",160,5.74,8510,84.6,375,1060,109,4.13
"56","Zn","Medium",223,2.4,7630,67.4,341,974,80.9,4.68
"57","Zn","High",188,1.4,13300,107,494,1620,117,4.56
